"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD"
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,31.54,38.595,2.573,81.15242,1.90930147520323,1.65321251377534,0.410439786210347,1.49886168899288,1.58653104526603
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,28.145,34.46,2.33,65.57785,1.81675717402224,1.65321251377534,0.367355921026019,1.44940125299622,1.53731527311201
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,35.865,44.5,2.168,77.75532,1.89073011303781,1.65321251377534,0.336059277866349,1.55467083517146,1.64836001098093
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,36.715,51.71,2.612,95.89958,1.98181670514687,1.65321251377534,0.416973172603036,1.56484353254383,1.71357453777207
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,34.11,42.39,2.517,85.85487,1.93376493495576,1.65321251377534,0.400883215548363,1.5328817194074,1.62726341656822
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,33.55,39.95,2.813,94.37615,1.97486225667021,1.65321251377534,0.449169732165201,1.52569252450501,1.60151678365001
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,33.685,44.255,2.565,86.402025,1.93652392113653,1.65321251377534,0.409087369447835,1.5274365516887,1.64596234508439
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,39.71,49.3,3.168,125.80128,2.09968505998134,1.65321251377534,0.500785172917456,1.59889988706388,1.69284691927723
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,28.725,36.27,2.258,64.86105,1.81198397494927,1.65321251377534,0.353723937588949,1.45826003736032,1.55954755558043
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,31.415,38.26,2.38,74.7677,1.87371402110847,1.65321251377534,0.376576957056512,1.49713706405196,1.58274496569128
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,33.325,39.825,2.508,83.5791,1.92209769024458,1.65321251377534,0.399327532158679,1.5227701580859,1.60015578447317
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,33.18,39.075,2.724,90.38232,1.95608348492909,1.65321251377534,0.435207103240748,1.52087638168834,1.59189898669122
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,35.14,42.21,2.433,85.49562,1.93194386609009,1.65321251377534,0.386142108930819,1.54580175715928,1.62541535215441
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,29.46,40.545,2.337,68.84802,1.83789145489884,1.65321251377534,0.368658712392227,1.46923274250661,1.60793730475441
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,36.35,42.645,2.762,100.3987,2.00172808943767,1.65321251377534,0.441223674242612,1.56050441519506,1.62986811874612
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,31.605,38.395,2.434,76.92657,1.88607636855783,1.65321251377534,0.386320573894046,1.49975579466378,1.58427467192499
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,35.775,43.65,2.433,87.040575,1.93972175136263,1.65321251377534,0.386142108930819,1.55357964243181,1.63998424804159
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,29.695,34.71,2.33,69.18935,1.84003925063906,1.65321251377534,0.367355921026019,1.47268332961304,1.54045461367141
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,25.69,33.09,2.052,52.71588,1.72194146070612,1.65321251377534,0.312177356439779,1.40976410426635,1.51969676715985
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,31.45,38.88,2.53,79.5685,1.90074117095711,1.65321251377534,0.403120521175818,1.49762064978129,1.58972625625424
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,34.75,43.08,2.443,84.89425,1.92887827589957,1.65321251377534,0.387923466973437,1.54095480892613,1.63427569462594
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,35.03,46.39,1.978,69.28934,1.84066642457885,1.65321251377534,0.296226287261161,1.54444013731769,1.66642437251876
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,36.055,41.86,2.432,87.68576,1.94292907049764,1.65321251377534,0.385963570600697,1.55696549989694,1.62179922400267
"plantsdirect",2017-01-10,"agathis_robusta","ar_45","ar_45-agathis_robusta",45,31.95,40.595,2.448,78.2136,1.89328227596794,1.65321251377534,0.388811413473524,1.50447086249442,1.60847254574143
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,33.255,46.22,2.323,77.251365,1.8879061619704,1.65321251377534,0.366049209800235,1.52185695217017,1.66482994114309
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,30.235,35.9,2.535,76.645725,1.88448793661132,1.65321251377534,0.403977963669355,1.48050997294196,1.55509444857832
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,33.225,39.5,2.37,78.74325,1.89621333562487,1.65321251377534,0.374748346010104,1.52146498961477,1.59659709562646
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,35.845,36.44,2.142,76.77999,1.88524805121789,1.65321251377534,0.330819466495837,1.55442858472205,1.56157836830096
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,35.37,38.23,2.065,73.03905,1.86355511580717,1.65321251377534,0.31492005599242,1.54863505981475,1.58240429801903
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,31.25,33.025,2.313,72.28125,1.85902565445071,1.65321251377534,0.364175632770619,1.49485002168009,1.51884282628656
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,34.75,40.245,2.553,88.71675,1.94800562373038,1.65321251377534,0.40705081480425,1.54095480892613,1.60471193172762
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,30.295,34.72,2.025,61.347375,1.78779598438324,1.65321251377534,0.306425027550687,1.48137095683255,1.54057971650445
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,29.225,35.04,2.193,64.090425,1.8067931515114,1.65321251377534,0.341038631677523,1.46575451983388,1.54456409749604
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.68,35.32,2.435,79.5758,1.90078101341103,1.65321251377534,0.386498965550653,1.51428204786038,1.54802069490553
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,35.54,33.42,2.295,81.5643,1.91150011334256,1.65321251377534,0.36078268987328,1.55071742346928,1.52400644555737
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,27.7,32.59,1.833,50.7741,1.70564223402667,1.65321251377534,0.263162464962217,1.44247976906445,1.51308436046514
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,39.4,44.62,2.713,106.8922,2.02894601558717,1.65321251377534,0.433449793761596,1.59549622182557,1.64952956594782
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,38.43,44.81,2.56,98.3808,1.9929103497762,1.65321251377534,0.40823996531185,1.58467038446435,1.65137494391304
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,29.175,34.22,2.445,71.332875,1.85328972817705,1.65321251377534,0.388278863459639,1.46501086471741,1.53428000520508
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,36.15,38.52,2.392,86.4708,1.93686947694692,1.65321251377534,0.378761175316373,1.55810830163055,1.5856862784525
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,37.35,47.84,2.223,83.02905,1.91923006885041,1.65321251377534,0.346939462698991,1.57229060615142,1.67979117098035
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,33.33,39.88,2.709,90.29097,1.9556443186937,1.65321251377534,0.432809005033168,1.52283531366053,1.60075514963962
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,31.065,36.57,2.213,68.746845,1.83725277187639,1.65321251377534,0.344981413927258,1.49227135794913,1.56312496033804
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,31.395,39.925,2.523,79.209585,1.89877773791194,1.65321251377534,0.401917250517575,1.49686048739437,1.60124492481052
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.665,36.295,2.293,74.900845,1.87448671725577,1.65321251377534,0.360404054729939,1.51408266252583,1.55984680073932
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,28.355,33.395,2.372,67.25806,1.82774433631424,1.65321251377534,0.375114684692225,1.45262965162202,1.52368144780075
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,37.035,41.815,2.589,95.883615,1.98174439942249,1.65321251377534,0.413132050434872,1.56861234898761,1.62133210112081
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,34.49,44.96,2.285,78.80965,1.89657939877326,1.65321251377534,0.358886204405869,1.53769319436739,1.652826302561
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,28.015,29.325,2.052,57.48678,1.75956798324337,1.65321251377534,0.312177356439779,1.44739062680359,1.46723802078757
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.04,34.175,2.342,75.03768,1.87527939814854,1.65321251377534,0.369586890736344,1.5056925074122,1.53370852323986
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.125,36.815,2.397,77.003625,1.886511170373,1.65321251377534,0.379668034033654,1.50684313633935,1.56602480481272
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,25.675,32.7,1.992,51.1446,1.708799786357,1.65321251377534,0.29928933408768,1.40951045226932,1.51454775266029
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,33.34,38.52,2.159,71.98106,1.85721823782622,1.65321251377534,0.334252642334231,1.52296559549199,1.5856862784525
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,31.435,28.97,2.386,75.00391,1.87508390402053,1.65321251377534,0.377670439334323,1.49741346468621,1.46194849520376
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,31.44,38.825,2.296,72.18624,1.85845442109331,1.65321251377534,0.360971883725936,1.49748253736737,1.5891114644006
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,31.475,35.155,2.17,68.30075,1.83442547262843,1.65321251377534,0.33645973384853,1.4979657387799,1.54598710227137
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,34.455,36.73,2.263,77.971665,1.89193680820544,1.65321251377534,0.354684553954729,1.53725225425071,1.56502092834529
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.185,35.695,2.21,71.12885,1.8520457871501,1.65321251377534,0.344392273685111,1.50765351346499,1.55260738629461
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,36.59,42.975,2.589,94.73151,1.97649445992148,1.65321251377534,0.413132050434872,1.56336240948661,1.63321588535909
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,29.425,31.645,2.21,65.02925,1.81310874520058,1.65321251377534,0.344392273685111,1.46871647151547,1.50030510001057
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.085,39.25,2.404,77.13234,1.88723650695791,1.65321251377534,0.380934463330702,1.50630204362721,1.59383966108127
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,35.48,38.1,2.213,78.51724,1.89496502508695,1.65321251377534,0.344981413927258,1.54998361115969,1.58092497567562
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,28.865,32.335,2.154,62.17521,1.79361726079661,1.65321251377534,0.333245698961963,1.46037156183465,1.50967286528314
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.835,34.41,2.282,74.92947,1.87465266070581,1.65321251377534,0.358315640082196,1.51633702062361,1.53668467262093
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,38.55,41.125,2.612,100.6926,2.00299755499001,1.65321251377534,0.416973172603036,1.58602438238698,1.61410591095803
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,32.565,33.965,2.148,69.94962,1.84478535953762,1.65321251377534,0.332034277027518,1.5127510825101,1.53103161892675
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,24.19,26.3,1.908,46.15452,1.66421423872996,1.65321251377534,0.280578370368076,1.38363586836188,1.41995574848976
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,34.34,43.81,2.68,92.0312,1.96393508485369,1.65321251377534,0.428134794028789,1.5358002908249,1.64157325317818
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_45","ac_45-araucaria_cunninghamii",45,29.005,33.295,2,58.01,1.7635028654676,1.65321251377534,0.301029995663981,1.46247286980362,1.52237901922856
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_100","ac_100-araucaria_cunninghamii",100,45.91,58.595,2.943,135.11313,2.13069755486563,2,0.468790262099611,1.66190729276602,1.76786055859395
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_100","ac_100-araucaria_cunninghamii",100,40.235,46.735,2.332,93.82802,1.97233255174995,2,0.367728546086976,1.60460400566297,1.66964224702574
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_100","ac_100-araucaria_cunninghamii",100,49.25,53.285,2.439,120.12075,2.07961803514736,2,0.387211800313731,1.69240623483363,1.72660497011356
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_100","ac_100-araucaria_cunninghamii",100,43.46,50.705,2.26,98.2196,1.99219816113191,2,0.354108439147401,1.63808972198451,1.70505078705211
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_100","ac_100-araucaria_cunninghamii",100,38.45,47.54,2.958,113.7351,2.05589451379832,2,0.470998169660874,1.58489634413745,1.67705917739216
"plantsdirect",2017-01-10,"araucaria_cunninghamii","ac_100","ac_100-araucaria_cunninghamii",100,40.375,53.24,2.791,112.686625,2.05187237182779,2,0.445759836488631,1.60611253533916,1.72623804680264
