nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,1,239.1,28,28.07,37.49,37.37
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,2,203,26.62,27.3,35.79,35.21
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,3,254,30.01,30.03,35.3,36.06
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,4,314,30.47,30.53,39.72,39.52
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,5,250.4,28.76,29.72,40.12,40.52
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,6,251.4,29.54,29.82,35.26,35.29
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,7,290.2,30.16,32.32,41.38,39.6
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,8,257.5,29.3,30.01,46.15,44.72
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,9,208.6,36.08,35.69,40.52,39.84
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,10,230.5,31.09,31.2,39.32,40.58
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,11,237.5,28.3,28.14,37.43,37.59
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,12,277.5,31.01,31.24,36.88,36.39
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,13,263.9,26.1,26.91,39.51,37.77
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,14,232,30,30.95,34.83,35.59
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,15,259.5,29.33,29.35,45.16,42.77
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,16,257.2,27.64,28.3,39.26,38.64
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,17,273.2,27.37,27.62,27.71,28.5
adelaidetreefarm,4/11/2016,lagerstroemia_indica_natchez,LIN_45,45,18,285.5,30.22,30.92,39.42,39.52
