batch_id, species,volume,apical,branchdirection
1158,acer_freemanii_autumnblaze,100,yes,h
35025,corymbia_maculata,200,yes,u
26453,eucalyptus_sideroxylon,25,yes,h
1146,lophostemon_confertus,25,yes,u
35683,angophora_ costata,25,yes,h
25686,corymbia_maculata,25,yes,u
33684,araucaria_heterophylla,45,yes,h
26612,jacaranda_mimosifolia,25,no,u
2061,magnolia_grandiflora_exmouth,45,yes,u
34776,waterhousea_floribunda,35,yes,u
35690,eucalyptus_pilularis,25,yes,h
36172,eucalyptus_saligna,25,yes,h
36029,fraxinus_griffithii,25,yes,h
26627,callistemon_kingsparkspecial,25,no,u
34019,angophora_ costata,600,yes,h
35027,eucalyptus_saligna,1000,yes,h
26750,eucalyptus_saligna,300,yes,h
32885,lophostemon_confertus,300,yes,u
1948,ulmus_parvifolia,200,no,u
33071,corymbia_maculata,400,yes,h
35742,angophora_ costata,100,yes,h
33573,ulmus_parvifolia,400,no,h
35776,eucalyptus_pilularis,100,yes,h
33465,lophostemon_confertus,100,yes,h
35470,olea_europea,100,no,h
35469,olea_europea,65,no,h
34084,banksia_integrifolia,400,no,u
34796,eucalyptus_saligna,100,yes,u
34041,fraxinus_griffithii,100,no,u
33923,jacaranda_mimosifolia,100,no,u
33037,banksia_integrifolia,45,no,h
960,fraxinus_griffithii,45,no,h
26658,ulmus_parvifolia,800,no,u
26162,waterhousea_floribunda,75,no,h
26083,waterhousea_floribunda,100,no,h
26779,araucaria_heterophylla,100,yes,h
34994,tristaniopsis_laurina_luscious,75,yes,u
33924,brachychiton_acerifolius,100,yes,u
34182,brachychiton_acerifolius,75,yes,u
34802,corymbia_maculata,1000,yes,u
35552,lophostemon_confertus,800,yes,u
739,eucalyptus_saligna,45,yes,h
740,eucalyptus_pilularis,45,yes,h
34042,banksia_integrifolia,75,no,u
33117,brachychiton_acerifolius,45,yes,u
2141,magnolia_grandiflora_exmouth,400,yes,h
33467,eucalyptus_saligna,400,yes,h
35753,corymbia_maculata,45,yes,h
26706,waterhousea_floribunda,200,yes,h
32821,banksia_integrifolia,200,no,h
33572,magnolia_grandiflora_littlegem,200,no,u
35757,brachychiton_acerifolius,200,yes,u
34137,banksia_integrifolia,15,no,u
34937,eucalyptus_pilularis,300,yes,h
34179,eucalyptus_saligna,800,yes,h
26749,olea_europea,15,no,u
35468,olea_europea,35,no,u
