nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
arborwest,16/09/2016,agonis_flexuosa,C51,35,1,145.7,15.22,15.45,22.25,23.07
arborwest,16/09/2016,agonis_flexuosa,C51,35,2,100.4,17.22,15.73,19.14,18.33
arborwest,16/09/2016,agonis_flexuosa,C51,35,3,109.7,23.43,23.43,38.57,31.2
arborwest,16/09/2016,agonis_flexuosa,C51,35,4,140.3,17.93,18.73,24.97,23.84
arborwest,16/09/2016,agonis_flexuosa,C51,35,5,104,11.71,11.66,16.65,17.51
arborwest,16/09/2016,agonis_flexuosa,C51,35,6,153.4,15.77,14.33,21.35,21.26
arborwest,16/09/2016,agonis_flexuosa,C51,35,7,166.3,19.22,19.8,30.02,29.92
arborwest,16/09/2016,agonis_flexuosa,C51,35,8,137.6,20.46,20.21,31.81,30.13
arborwest,16/09/2016,agonis_flexuosa,C51,35,9,145.6,17.14,15.04,23.57,23.96
arborwest,16/09/2016,agonis_flexuosa,C51,35,10,143.1,21.69,21.05,24.83,23.78
arborwest,16/09/2016,agonis_flexuosa,C51,35,11,122.2,16.69,18.71,26.96,27.64
arborwest,16/09/2016,agonis_flexuosa,C51,35,12,135.5,31.08,31.63,21.39,21.61
arborwest,16/09/2016,agonis_flexuosa,C51,35,13,154,20.77,17.68,30.32,29.53
arborwest,16/09/2016,agonis_flexuosa,C51,35,14,138,19.4,19.65,26.3,27.51
arborwest,16/09/2016,agonis_flexuosa,C51,35,15,118.2,15.59,15.04,17.01,16
arborwest,16/09/2016,agonis_flexuosa,C51,35,16,148.3,14.14,15.07,30.05,28.87
arborwest,16/09/2016,agonis_flexuosa,C51,35,17,105.5,14.64,13.46,21.16,21.33
arborwest,16/09/2016,agonis_flexuosa,C51,35,18,157.5,20.27,19.84,29.43,28.61
arborwest,16/09/2016,agonis_flexuosa,C51,35,19,155.9,17.23,17.8,27.14,27.36
arborwest,16/09/2016,agonis_flexuosa,C51,35,20,150,17,18.9,25.27,25.98
arborwest,16/09/2016,agonis_flexuosa,C51,35,21,152.4,19.32,20.55,19.51,24.92
arborwest,16/09/2016,agonis_flexuosa,C51,35,22,212,23.1,22.97,28.22,29.02
arborwest,16/09/2016,agonis_flexuosa,C51,35,23,134.9,17.17,17.48,24.38,23.34
arborwest,16/09/2016,agonis_flexuosa,C51,35,24,160.3,27.1,27.62,35.78,33.34
arborwest,16/09/2016,agonis_flexuosa,C51,35,25,137.6,14.21,14.37,22.72,23.38
arborwest,16/09/2016,agonis_flexuosa,C51,35,26,135.7,14.08,14.45,21,21.39
arborwest,16/09/2016,agonis_flexuosa,C51,35,27,174.5,22.75,23.13,30.72,29.44
arborwest,16/09/2016,agonis_flexuosa,C51,35,28,165.2,21.89,22.39,29.05,27.38
arborwest,16/09/2016,agonis_flexuosa,C51,35,29,123.3,23.84,23,30.07,30.87
arborwest,16/09/2016,agonis_flexuosa,C51,35,30,145.7,19.67,21.91,26.82,26.93
arborwest,16/09/2016,agonis_flexuosa,C51,35,31,155.2,14.98,15.03,25.02,20.05
