nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
benara,12/09/2016,agonis_flexuosa,E50011,30,1,179.7,18.82,20.82,26.8,29.09
benara,12/09/2016,agonis_flexuosa,E50011,30,2,143.2,23.18,23.29,31.33,30.42
benara,12/09/2016,agonis_flexuosa,E50011,30,3,124.4,18.93,22.57,29.35,29.58
benara,12/09/2016,agonis_flexuosa,E50011,30,4,123.7,17.65,18.12,35.23,31.76
benara,12/09/2016,agonis_flexuosa,E50011,30,5,130.5,24.71,24.67,29.57,29.26
benara,12/09/2016,agonis_flexuosa,E50011,30,6,104.3,22.45,22.62,25.72,31.23
benara,12/09/2016,agonis_flexuosa,E50011,30,7,123.6,16.74,17.18,27.67,25.96
benara,12/09/2016,agonis_flexuosa,E50011,30,8,136.6,24.23,22.42,35.51,34.35
benara,12/09/2016,agonis_flexuosa,E50011,30,9,124.4,22.39,23.23,32.05,29.8
benara,12/09/2016,agonis_flexuosa,E50011,30,10,123.4,24.5,23.52,27.03,28.31
benara,12/09/2016,agonis_flexuosa,E50011,30,11,119.6,18.16,17.87,30.68,30.85
benara,12/09/2016,agonis_flexuosa,E50011,30,12,160.6,21.23,21.79,34.36,35.64
benara,12/09/2016,agonis_flexuosa,E50011,30,13,124.1,16.9,16.72,28.53,29.07
benara,12/09/2016,agonis_flexuosa,E50011,30,14,116.5,21.49,22.78,31.87,33.76
benara,12/09/2016,agonis_flexuosa,E50011,30,15,154.4,19.42,19.58,27.05,26.7
benara,12/09/2016,agonis_flexuosa,E50011,30,16,150.5,30.67,33.93,37.37,36.26
benara,12/09/2016,agonis_flexuosa,E50011,30,17,159.4,23.93,23.95,35.88,33.71
benara,12/09/2016,agonis_flexuosa,E50011,30,18,97.3,9.95,10.3,25.25,24.18
benara,12/09/2016,agonis_flexuosa,E50011,30,19,130.3,20.26,20.69,26.38,26.48
benara,12/09/2016,agonis_flexuosa,E50011,30,20,138.6,19.69,19.02,29.24,26.39
benara,12/09/2016,agonis_flexuosa,E50011,30,21,93.9,18.08,16.14,21.65,23.03
benara,12/09/2016,agonis_flexuosa,E50011,30,22,119.5,17.38,17.63,27.66,27.53
benara,12/09/2016,agonis_flexuosa,E50011,30,23,139.5,13.82,14.68,33.41,32.49
benara,12/09/2016,agonis_flexuosa,E50011,30,24,148.9,23.77,22.81,29.77,31.64
benara,12/09/2016,agonis_flexuosa,E50011,30,25,145.9,20.78,20.8,27.49,25.38
benara,12/09/2016,agonis_flexuosa,E50011,30,26,146.2,24.25,23.42,30.42,31.53
benara,12/09/2016,agonis_flexuosa,E50011,30,27,151.8,22.5,23.7,32.16,31.25
benara,12/09/2016,agonis_flexuosa,E50011,30,28,172.5,25.91,25.11,36.95,35.72
benara,12/09/2016,agonis_flexuosa,E50011,30,29,133.4,17.89,17.69,27.09,26.93
benara,12/09/2016,agonis_flexuosa,E50011,30,30,135.2,14.13,14.03,21.85,27.02
benara,12/09/2016,agonis_flexuosa,E50011,30,31,126.1,20.1,19.48,24.2,24.88
benara,12/09/2016,agonis_flexuosa,E50011,30,32,169,23.4,23.25,29.01,28.32
benara,12/09/2016,agonis_flexuosa,E50011,30,33,105.4,16.72,15.66,24.75,26.2
benara,12/09/2016,agonis_flexuosa,E50011,30,34,114.1,21.52,21.16,26.82,29.96
benara,12/09/2016,agonis_flexuosa,E50011,30,35,188.1,34.02,36.96,41.2,50.96
benara,12/09/2016,agonis_flexuosa,E50011,30,36,102,27.14,26.75,33.32,34.88
benara,12/09/2016,agonis_flexuosa,E50011,30,37,140.5,16.84,16.7,25.4,25.21
benara,12/09/2016,agonis_flexuosa,E50011,30,38,119.6,28.67,26.56,25.73,28.33
benara,12/09/2016,agonis_flexuosa,E50011,30,39,129.1,18.47,19.73,24.84,26.05
benara,12/09/2016,agonis_flexuosa,E50011,30,40,131.5,17.16,18.84,24.41,25.91
benara,12/09/2016,agonis_flexuosa,E50011,30,41,160.3,21.3,22.1,27.18,26.81
benara,12/09/2016,agonis_flexuosa,E50011,30,42,131.1,21.23,21.12,33.63,32.58
benara,12/09/2016,agonis_flexuosa,E50011,30,43,83.2,25.58,22.95,32.61,32.79
benara,12/09/2016,agonis_flexuosa,E50011,30,44,126.6,17.41,17.61,25.72,26.78
benara,12/09/2016,agonis_flexuosa,E50011,30,45,137,16.08,17.07,23.58,23.34
benara,12/09/2016,agonis_flexuosa,A40101,200,1,313.6,65.66,65.28,89.67,89.47
benara,12/09/2016,agonis_flexuosa,A40101,200,2,243.7,78.91,94.64,105.09,107.55
benara,12/09/2016,agonis_flexuosa,A40101,200,3,297,58.67,58.49,73.83,74.76
