nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
ett,29/06/2016,acer_rubrum_octoberglory,ar_200,200,1,452,64.32,62.32,93.19,100.49
ett,29/06/2016,angophora_costata,ac_100,100,1,433.3,53.71,52.45,63.05,65.43
ett,29/06/2016,angophora_costata,ac_100,100,2,460.1,47.74,51.4,67.17,69.24
ett,29/06/2016,angophora_costata,ac_100,100,3,433.4,52.23,52.69,70.05,68.19
ett,29/06/2016,angophora_costata,ac_100,100,4,466.5,48.15,49.19,58.23,56.96
ett,29/06/2016,angophora_costata,ac_100,100,5,437,49.52,49.95,50.23,50.13
ett,29/06/2016,angophora_costata,ac_100,100,6,439.6,39.44,42.43,51.51,52.7
ett,29/06/2016,angophora_costata,ac_100,100,7,365.5,42.92,43.49,61.24,58.93
ett,29/06/2016,angophora_costata,ac_100,100,8,394.4,40.98,38.54,58.03,58.03
ett,29/06/2016,angophora_costata,ac_100,100,9,345.5,49.8,48.96,58.41,58.29
ett,29/06/2016,angophora_costata,ac_100,100,10,433.1,49.5,50.01,56.67,50.45
ett,29/06/2016,angophora_costata,ac_100,100,11,435,45.05,45.49,60.1,59.67
ett,29/06/2016,angophora_costata,ac_100,100,12,364.5,43.32,44.51,54.8,58.07
ett,29/06/2016,angophora_costata,ac_100,100,13,395.9,50,48.25,58.43,59.37
ett,29/06/2016,angophora_costata,ac_100,100,14,424.7,48.92,49.58,54.29,56.85
ett,29/06/2016,angophora_costata,ac_100,100,15,339.2,53.06,52.43,59.78,62.48
ett,29/06/2016,angophora_costata,ac_100,100,16,367.5,57.62,57.74,71.24,67.34
ett,29/06/2016,angophora_costata,ac_100,100,17,425.1,58.02,58.77,67.06,66.64
ett,29/06/2016,angophora_costata,ac_100,100,18,459.8,53.89,55.15,65.44,64.09
ett,29/06/2016,angophora_costata,ac_100,100,19,434.9,58.85,59.12,65.29,67.76
ett,29/06/2016,angophora_costata,ac_100,100,20,444.4,51.96,53.97,64.02,62.4
ett,29/06/2016,araucaria_heterophylla,ah_200,200,1,446.1,94.13,92.48,112.91,106.9
ett,29/06/2016,araucaria_heterophylla,ah_200,200,2,389.5,84.6,84.15,105.02,102.68
ett,29/06/2016,araucaria_heterophylla,ah_200,200,3,437.6,87.77,92.12,104.2,109.96
ett,29/06/2016,araucaria_heterophylla,ah_200,200,4,434.5,96.08,96.03,108.97,106.84
ett,29/06/2016,araucaria_heterophylla,ah_200,200,5,435,98.88,103.49,110.35,104.03
ett,29/06/2016,araucaria_heterophylla,ah_200,200,6,431.8,92.24,92.35,105.63,105.68
ett,29/06/2016,araucaria_heterophylla,ah_200,200,7,411.4,99.67,97.19,115.98,113.04
ett,29/06/2016,araucaria_heterophylla,ah_200,200,8,434.8,90.86,91.88,113.16,113.47
ett,29/06/2016,araucaria_heterophylla,ah_200,200,9,451.9,93.89,98.37,122.45,116.52
ett,29/06/2016,araucaria_heterophylla,ah_100,100,1,325,56.57,57.56,68.63,63.93
ett,29/06/2016,araucaria_heterophylla,ah_100,100,2,334.1,59.06,58.06,73.88,74.74
ett,29/06/2016,araucaria_heterophylla,ah_100,100,3,341.4,63.91,65.87,73.29,76.13
ett,29/06/2016,araucaria_heterophylla,ah_100,100,4,362.3,58.9,61.82,72.09,73.54
ett,29/06/2016,araucaria_heterophylla,ah_100,100,5,357,59.75,58.08,67.89,67.72
ett,29/06/2016,araucaria_heterophylla,ah_100,100,6,362.4,61.06,59.12,70.61,69.83
ett,29/06/2016,araucaria_heterophylla,ah_100,100,7,434.4,61.71,60.57,73.47,72.77
ett,29/06/2016,araucaria_heterophylla,ah_100,100,8,367.5,60.07,59.95,71.67,72.09
ett,29/06/2016,araucaria_heterophylla,ah_100,100,9,404.5,63.16,60.56,72.27,71.77
ett,29/06/2016,araucaria_heterophylla,ah_100,100,10,335.2,54.82,56.09,67.7,65.04
ett,29/06/2016,araucaria_heterophylla,ah_100,100,11,301,58.93,50.94,59.53,72.34
ett,29/06/2016,araucaria_heterophylla,ah_100,100,12,341.5,58.38,58.95,72.93,70.21
ett,29/06/2016,araucaria_heterophylla,ah_100,100,13,340.3,54.75,52.71,65.02,64.05
ett,29/06/2016,araucaria_heterophylla,ah_100,100,14,360.5,69.62,62.72,69.57,68.95
ett,29/06/2016,araucaria_heterophylla,ah_100,100,15,392.7,63.34,62.62,74,71.18
ett,29/06/2016,araucaria_heterophylla,ah_100,100,16,381.5,56.95,57.33,74.96,71.64
ett,29/06/2016,araucaria_heterophylla,ah_100,100,17,357.4,62.02,57.53,72.79,75.28
ett,29/06/2016,araucaria_heterophylla,ah_100,100,18,398.6,61.08,61.35,70.86,67.4
ett,29/06/2016,araucaria_heterophylla,ah_100,100,19,335,59.61,59.25,74.41,75.17
ett,29/06/2016,araucaria_heterophylla,ah_100,100,20,316.2,58.2,59.24,69.8,69.93
ett,29/06/2016,corymbia_maculata,cm_100,100,1,397.2,41.39,41.63,65.33,61.95
ett,29/06/2016,corymbia_maculata,cm_100,100,2,357.2,40.01,40.57,53.33,55.72
ett,29/06/2016,corymbia_maculata,cm_100,100,3,428.5,49.61,50.49,54.91,58.87
ett,29/06/2016,corymbia_maculata,cm_100,100,4,458.7,43.24,42.13,62.14,62.59
ett,29/06/2016,corymbia_maculata,cm_100,100,5,405.6,45.77,45.22,67.21,62.23
ett,29/06/2016,corymbia_maculata,cm_100,100,6,418.4,55.02,51.32,63.656,64.11
ett,29/06/2016,corymbia_maculata,cm_100,100,7,431.2,50.65,50.33,71.77,72.36
ett,29/06/2016,corymbia_maculata,cm_100,100,8,395.5,47.38,46.48,58.52,59.17
ett,29/06/2016,corymbia_maculata,cm_100,100,9,451,44.52,44.59,71.05,72.43
ett,29/06/2016,corymbia_maculata,cm_100,100,10,396.9,47.68,47.76,62.31,61.46
ett,29/06/2016,corymbia_maculata,cm_100,100,11,415.2,39.47,41.26,52.1,59.61
ett,29/06/2016,corymbia_maculata,cm_100,100,12,426.2,36.25,35.84,65.22,58.48
ett,29/06/2016,corymbia_maculata,cm_100,100,13,440.9,42.97,42.73,61.54,63.16
ett,29/06/2016,corymbia_maculata,cm_100,100,14,493.9,47.17,44.64,64.85,64.04
ett,29/06/2016,corymbia_maculata,cm_100,100,15,411.4,37.26,37.74,44.06,49.66
ett,29/06/2016,corymbia_maculata,cm_100,100,16,431.6,41.31,41.96,50.86,52.87
ett,29/06/2016,corymbia_maculata,cm_100,100,17,367.3,37.28,38.78,52.88,59.46
ett,29/06/2016,corymbia_maculata,cm_100,100,18,397.8,39.13,40.45,53.06,53.75
ett,29/06/2016,corymbia_maculata,cm_100,100,19,397.5,42.48,42.15,62.51,54.09
ett,29/06/2016,corymbia_maculata,cm_100,100,20,431.9,38.09,37.06,53.55,53.22
ett,29/06/2016,corymbia_maculata,cm_150,150,1,494.9,55.08,54.81,82.08,84.47
ett,29/06/2016,corymbia_maculata,cm_150,150,2,467.9,57.41,59.21,79.33,76.43
ett,29/06/2016,corymbia_maculata,cm_150,150,3,540.5,61.99,60.44,76.66,80.79
ett,29/06/2016,corymbia_maculata,cm_150,150,4,480.2,62.48,60.87,74.47,77.09
ett,29/06/2016,corymbia_maculata,cm_150,150,5,478.1,55.14,57.98,70.98,68.57
ett,29/06/2016,corymbia_maculata,cm_150,150,6,521.1,52.47,50.41,67.04,64.53
ett,29/06/2016,corymbia_maculata,cm_150,150,7,499.7,43,54.99,67.02,70.37
ett,29/06/2016,corymbia_maculata,cm_150,150,8,505.4,62.29,63.55,75.03,75.63
ett,29/06/2016,corymbia_maculata,cm_150,150,9,489,51.95,54.05,75.81,68.41
ett,29/06/2016,corymbia_maculata,cm_150,150,10,542.1,56.27,58.69,72.19,71.42
ett,29/06/2016,corymbia_maculata,cm_150,150,11,545,62.53,59.78,78.13,77.43
ett,29/06/2016,corymbia_maculata,cm_150,150,12,528.4,63.23,65.62,76.25,74.16
ett,29/06/2016,corymbia_maculata,cm_150,150,13,490.9,61.76,62.06,75.79,79.28
ett,29/06/2016,corymbia_maculata,cm_150,150,14,579.7,64.84,62.45,75.92,75.78
ett,29/06/2016,corymbia_maculata,cm_150,150,15,579.1,61.63,61.35,79.92,74.17
ett,29/06/2016,corymbia_maculata,cm_150,150,16,490.4,53.97,56.03,71.38,65.48
ett,29/06/2016,corymbia_maculata,cm_150,150,17,545.6,72.59,67.87,82.35,80.98
ett,29/06/2016,corymbia_maculata,cm_150,150,18,579,65.96,66.92,96.04,83.53
ett,29/06/2016,corymbia_maculata,cm_150,150,19,633.5,59.83,61.33,76.42,74.98
ett,29/06/2016,corymbia_maculata,cm_150,150,20,560.2,66.04,69.85,91.94,81.42
ett,29/06/2016,corymbia_maculata,cm_500,500,1,716,91.47,88.36,110.02,110.458
ett,29/06/2016,corymbia_maculata,cm_500,500,2,601.4,86.36,84.02,94.28,104.48
ett,29/06/2016,corymbia_maculata,cm_500,500,3,613.4,78.65,78.92,110.35,96.87
ett,29/06/2016,corymbia_maculata,cm_500,500,4,553.9,81.84,88.24,107.83,98.23
ett,29/06/2016,corymbia_maculata,cm_500,500,5,614.5,80.82,81.44,103.83,105.84
ett,29/06/2016,corymbia_maculata,cm_500,500,6,731.8,82.61,84.33,108.02,105.03
ett,29/06/2016,corymbia_maculata,cm_500,500,7,642.3,87.54,87.08,111.38,105.48
ett,29/06/2016,corymbia_maculata,cm_500,500,8,582.1,85.98,88.55,100.06,108.14
ett,29/06/2016,corymbia_maculata,cm_500,500,9,626.8,85.22,84.87,92.23,116.19
ett,29/06/2016,corymbia_maculata,cm_500,500,10,646.2,84.8,80.32,106.13,100.24
ett,29/06/2016,corymbia_maculata,cm_500,500,11,591.5,88.16,90.75,120.35,117.59
ett,29/06/2016,corymbia_maculata,cm_500,500,12,621.6,80.09,80.86,99.19,98.24
ett,29/06/2016,corymbia_maculata,cm_500,500,13,630,80.89,83.29,100.14,103.76
ett,29/06/2016,corymbia_maculata,cm_500,500,14,672.5,87.57,89.25,103.47,127.75
ett,29/06/2016,corymbia_maculata,cm_500,500,15,588.5,87.47,89.34,110.11,113.94
ett,29/06/2016,corymbia_maculata,cm_500,500,16,563.3,79.96,79.31,101.95,103.44
ett,29/06/2016,corymbia_maculata,cm_500,500,17,627,80.31,78.23,97.44,98.31
ett,29/06/2016,corymbia_maculata,cm_500,500,18,639.3,82.46,88.02,111.71,108.14
ett,29/06/2016,corymbia_maculata,cm_500,500,19,610.5,84.55,83.01,103.63,116.84
ett,29/06/2016,corymbia_maculata,cm_500,500,20,608.5,84.41,82.87,108.83,114.01
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,1,368.8,37.99,37.78,44.11,43.86
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,2,353,38.27,39.18,44.65,44.08
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,3,354.6,39.14,39.79,46.42,46.46
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,4,354.6,36.21,36.13,40.53,41.66
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,5,357.8,36.8,37.64,36.37,44.73
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,6,356.2,38.03,38.53,44.76,45.48
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,7,342.2,35.69,37.18,46.5,44.73
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,8,348.4,37.34,37.59,50.56,57.34
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,9,348.5,39.52,40.8,46.44,46.21
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,10,361.7,38.91,38.45,52.86,57.74
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,11,336.7,36.52,35.91,44.07,44.04
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,12,324.7,40.5,41.52,50.41,52.1
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,13,368.2,40.87,41.64,47.19,46.2
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,14,343.6,36.36,34.62,43.27,44.45
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,15,328.6,38.5,37.18,47.06,44.19
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,16,354.5,38.63,38.01,44.08,45.95
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,17,354.5,35.43,34.7,42.07,40.29
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,18,319.3,39.98,39.96,41.98,41.54
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,19,335.3,39.29,39.71,51.39,52.29
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,20,358,38.04,36.43,44.57,45.51
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,21,328.9,36.06,36.57,44.35,45.44
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,22,338.2,35.6,34.34,43.58,44.07
ett,29/06/2016,elaeocarpus_reticulatus,er_100,100,23,315.2,37.04,36.03,44.57,45.17
