date,species,batch_id,volume,grade,tree,height,diameter1,diameter2,rootmax,rootmin
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,1,125.5,11.62,11.47,44,17
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,2,129.9,12.64,12.64,47,27
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,3,135,11.36,11.75,45,37
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,4,122.5,10.8,10.87,53,39
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,5,122,11.14,11.9,28,17
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,6,121.5,13.16,13.31,60,26
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,7,123.4,13.33,13.42,55,26.5
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,8,119.5,12.36,12.38,40,35
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,9,124.3,11.56,11.68,50,29
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,regular,10,119.4,12.78,12.83,59,32
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,11,195.9,21.21,20.55,58.5,30
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,12,163.5,17.03,17.75,41,32
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,13,161.8,20.75,20.02,50,34
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,14,200,19.48,19.78,50,41
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,15,171.9,18.2,18.18,55,30
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,16,157.2,18.86,18.76,60,29.5
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,17,157.5,21.09,21.1,41,30.5
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,18,181.6,17.98,17.95,53,40
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,19,170,20.06,20.01,69,31
27/06/2016,fraxinus_pennsylvanica_urbanite,fpu_br,bareroot,advanced,20,167,18.12,18.24,46.5,32.5
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,1,151.5,17.7,17.95,55.5,46.5
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,2,166.2,16.44,16.71,515,15
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,3,170,16.65,16.5,64,48
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,4,173.5,16.93,17.23,80,18
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,5,172.4,20.35,19.87,57,34
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,6,166.6,16.58,16.23,58,50
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,7,150.8,15.82,16.25,69,41
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,8,147.6,15.64,15.52,64,56
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,9,155.3,15.08,15.22,53,27.5
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,regular,10,157.5,15.22,14.83,73,48.5
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,11,245,25.31,26.35,72,45.5
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,12,215.4,22.71,23.28,78,28
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,13,245.4,28.07,27.88,82,35
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,14,232.9,26.32,26.01,97,51
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,15,209.9,23.04,24.74,86,43
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,16,205,26.34,27.68,80,40
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,17,251.5,28.95,29.19,72,27
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,18,203,24.86,25.2,67,55
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,19,221.7,27.76,27.86,53,35
27/06/2016,platanus_x_acerifolia,pa_br,bareroot,advanced,20,219.5,26.2,26.77,71,50
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,1,117.9,16.98,17.17,75.5,45
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,2,175.8,15.82,16.4,62,41
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,3,132.6,16.65,16.76,82,56
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,4,132.9,14.65,14.5,93,42
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,5,136.2,14.69,15.12,86.5,46.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,6,152,13.67,13.59,55,26
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,7,156.3,16.13,16.21,75,52
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,8,140.1,13.61,12.94,71,66
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,9,165.5,13.96,14.02,69,53
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,regular,10,157,15.24,15.51,65,49.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,11,165,22.58,22.01,66,56
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,12,198.5,23.89,25.34,51,33.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,13,190.4,21.76,23.24,61,42
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,14,176,20.87,20.55,53,46
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,15,179.1,20.67,20.68,70,44.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,16,188,22.63,22.04,53,43
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,17,187,22.56,22.85,60,48
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,18,176.8,22.76,21.29,60,45.5
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,19,155.1,20.3,20.25,74,61
27/06/2016,acer_rubrum_octoberglory,aro_br,bareroot,advanced,20,185.5,19.38,18.84,56.5,32.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,1,123.5,12.47,12.52,44.5,25
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,2,112.8,9.59,8.85,51,25.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,3,109.2,9.51,9.44,72,41
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,4,121.4,11.74,11.9,43.5,19.5
27/06/2016,pyrus_calleryana_capital,pcca_br,bareroot,regular,5,118.7,9.9,9.08,44,29.5
