nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
freshford,1/11/2016,agonis_flexuosa,AF_45,45,1,170.5,25.23,25.88,33.04,31.75
freshford,1/11/2016,agonis_flexuosa,AF_45,45,2,132.5,21.23,21.14,29.24,32.63
freshford,1/11/2016,agonis_flexuosa,AF_45,45,3,195.1,22.46,22.83,37.53,39.21
freshford,1/11/2016,agonis_flexuosa,AF_45,45,4,172.4,23.58,25.21,33.26,33.59
freshford,1/11/2016,agonis_flexuosa,AF_45,45,5,175.2,22.39,22.35,33.89,33.62
freshford,1/11/2016,agonis_flexuosa,AF_45,45,6,160.6,22.5,23.72,28.6,30.03
freshford,1/11/2016,agonis_flexuosa,AF_45,45,7,177.5,28.5,28.2,31.89,31.71
freshford,1/11/2016,agonis_flexuosa,AF_45,45,8,166.5,24.23,26.25,37.75,39.38
freshford,1/11/2016,agonis_flexuosa,AF_45,45,9,143.6,28.85,30.2,34.24,34.04
freshford,1/11/2016,agonis_flexuosa,AF_45,45,10,171.7,28.1,27.53,34.81,37.73
freshford,1/11/2016,agonis_flexuosa,AF_45,45,11,141.4,11.49,13.05,17.2,18.01
freshford,1/11/2016,agonis_flexuosa,AF_45,45,12,161.7,25.96,26.76,31.93,30.8
freshford,1/11/2016,agonis_flexuosa,AF_45,45,13,166.5,24.44,25.01,32.34,32.11
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,1,243.1,13.05,13.88,17.97,19.07
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,2,169.5,15.97,16.95,19.58,20.84
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,3,248,21.3,21.27,29.29,28.26
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,4,189.7,14.34,16.39,21.87,22.86
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,5,232.1,16.03,18.39,20.23,20.43
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,6,185.1,17.02,16.77,17.97,18.9
freshford,1/11/2016,eucalyptus_caesia,EC_45,45,7,170,16.22,17.49,25.06,26.23
freshford,1/11/2016,platanus_x_acerifolia,PA_?,,1,419.3,56.22,56.15,67.8,69.53
freshford,1/11/2016,platanus_x_acerifolia,PA_?,,2,410.9,49.71,48.93,58.99,58.65
