batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
ar_400mm,agathis_robusta,27,1,204,35,8,63,31.5,20,26.5,,,
ar_400mm,agathis_robusta,27,2,163.2,29,6,45,49.1,48.4,42,,,
ar_400mm,agathis_robusta,27,3,194.9,32,6,62,28.4,45.4,46.6,,,
ar_400mm,agathis_robusta,27,4,223.3,41,6,47,36.4,36.3,41.6,,,
ar_400mm,agathis_robusta,27,5,199.3,21,8,61,59.5,70.1,31.7,,,
ar_400mm,agathis_robusta,27,6,223.3,25,7,55,44.5,62.8,65.8,,,
ar_400mm,agathis_robusta,27,7,196.8,23,7,65,38.7,30.8,39.1,,,
ar_400mm,agathis_robusta,27,8,209.5,29,7,58,34.2,39.5,47.2,,,
ar_400mm,agathis_robusta,27,9,212.8,22,9,48,25.5,33.5,28.6,,,
ar_400mm,agathis_robusta,27,10,223.5,26,8,43,48.9,49.9,68.6,,,
ac_400mm,angophora_costata,27,1,113,37,6,60,16.5,21.5,14.5,,,
ac_400mm,angophora_costata,27,2,149.3,45,5,56,25.6,31.5,22.4,,,
ac_400mm,angophora_costata,27,3,171,49,12,65,34.9,22.5,21.8,,,
ac_400mm,angophora_costata,27,4,174.8,61,10,76,29.7,27.5,28.6,,,
ac_400mm,angophora_costata,27,5,143.1,47,6,60,24.7,31.1,43.6,,,
ac_400mm,angophora_costata,27,6,165,21,3,67,23.6,26,33.1,,,
ac_400mm,angophora_costata,27,7,169.8,43,5,59,43.5,42,40.4,,,
ac_400mm,angophora_costata,27,8,155.2,61,6,71,32.5,25.3,22.3,,,
ac_400mm,angophora_costata,27,9,167.5,58,10,46,27.9,25.3,34.4,,,
ac_400mm,angophora_costata,27,10,170,41,12,54,34.1,30.8,44.7,,,
ah_100,araucaria_heterophylla,100,1,325.6,91,7,80,,,,,,
ah_100,araucaria_heterophylla,100,2,265.4,20,7,93,,,,,,
ah_100,araucaria_heterophylla,100,3,305.6,46,10,87,,,,,,
ah_100,araucaria_heterophylla,100,4,248,41,9,102,,,,,,
ah_100,araucaria_heterophylla,100,5,237.8,45,9,77,,,,,,
ah_100,araucaria_heterophylla,100,6,250.3,67,7,109,,,,,,
ah_100,araucaria_heterophylla,100,7,276.5,29,5,94,,,,,,
ah_100,araucaria_heterophylla,100,8,284.7,44,10,102,,,,,,
ah_100,araucaria_heterophylla,100,9,334,74,5,83,,,,,,
ah_100,araucaria_heterophylla,100,10,282.2,34,9,105,,,,,,
ba_45,brachychiton_acerifolius,45,1,197.3,105,26,60,,,,,,
ba_45,brachychiton_acerifolius,45,2,192.7,88,26,55,,,,,,
ba_45,brachychiton_acerifolius,45,3,202.8,144,27,46,,,,,,
ba_45,brachychiton_acerifolius,45,4,204.2,106,13,61,,,,,,
ba_45,brachychiton_acerifolius,45,5,238,104,12,52,,,,,,
ba_45,brachychiton_acerifolius,45,6,233.6,122,17,49,,,,,,
ba_45,brachychiton_acerifolius,45,7,180.7,96,17,44,,,,,,
ba_45,brachychiton_acerifolius,45,8,232.2,120,21,47,,,,,,
ba_45,brachychiton_acerifolius,45,9,205.2,142,17,35,,,,,,
ba_45,brachychiton_acerifolius,45,10,200,98,17,69,,,,,,
ba_100,brachychiton_acerifolius,100,1,235,119,10,58,,,,,,
ba_100,brachychiton_acerifolius,100,2,242.9,146,17,45,,,,,,
ba_100,brachychiton_acerifolius,100,3,244.5,131,27,51,,,,,,
ba_100,brachychiton_acerifolius,100,4,238,140,13,77,,,,,,
ba_100,brachychiton_acerifolius,100,5,251.6,125,9,53,,,,,,
ba_100,brachychiton_acerifolius,100,6,253.9,127,11,51,,,,,,
ba_100,brachychiton_acerifolius,100,7,239,149,14,58,,,,,,
ba_100,brachychiton_acerifolius,100,8,248.9,149,27,47,,,,,,
ba_100,brachychiton_acerifolius,100,9,234.3,133,16,54,,,,,,
ba_100,brachychiton_acerifolius,100,10,226.1,150,20,59,,,,,,
ba_150,brachychiton_acerifolius,150,1,291.5,65,5,93,,,,,,
ba_150,brachychiton_acerifolius,150,2,279.5,87,16,73,,,,,,
ba_150,brachychiton_acerifolius,150,3,295.4,122,3,59,,,,,,
ba_150,brachychiton_acerifolius,150,4,255.9,90,26,90,,,,,,
ba_150,brachychiton_acerifolius,150,5,325.5,89,6,48,,,,,,
ba_150,brachychiton_acerifolius,150,6,300.5,170,6,45,,,,,,
ba_150,brachychiton_acerifolius,150,7,327.5,203,5,83,,,,,,
ba_150,brachychiton_acerifolius,150,8,269.3,120,8,81,,,,,,
ba_150,brachychiton_acerifolius,150,9,344.8,105,4,103,,,,,,
ba_150,brachychiton_acerifolius,150,10,314.3,138,7,119,,,,,,
br_45,brachychiton_rupestris,45,1,165,63,11,52,9.5,6.5,5.5,,,
br_45,brachychiton_rupestris,45,2,182.7,84,9,62,6.2,3.5,5,,,
br_45,brachychiton_rupestris,45,3,208.6,106,9,62,7,3.2,5,,,
br_45,brachychiton_rupestris,45,4,204,104,13,63,8.8,5.4,19.3,,,
br_45,brachychiton_rupestris,45,5,182.6,97,13,51,3.8,5,5.4,,,
br_45,brachychiton_rupestris,45,6,198,105,21,64,7.4,5.4,6.7,,,
br_45,brachychiton_rupestris,45,7,192.3,110,29,51,8.4,5.8,4.1,,,
br_45,brachychiton_rupestris,45,8,185.3,112,18,45,7.7,9.3,4.6,,,
br_45,brachychiton_rupestris,45,9,187.5,79,4,58,5.3,5,8.3,,,
br_45,brachychiton_rupestris,45,10,180,110,14,44,10.1,7.5,6.5,,,
dr_150,delonix_regia,150,1,255.8,156,3,143,,,,,,
dr_150,delonix_regia,150,2,253.6,146,5,116,,,,,,
dr_150,delonix_regia,150,3,258.9,150,4,145,,,,,,
dr_150,delonix_regia,150,4,258.2,97,2,182,,,,,,
dr_150,delonix_regia,150,5,279.6,208,4,178,,,,,,
dr_150,delonix_regia,150,6,256.5,152,3,178,,,,,,
dr_150,delonix_regia,150,7,262.2,150,4,244,,,,,,
dr_150,delonix_regia,150,8,277.2,129,4,157,,,,,,
dr_150,delonix_regia,150,9,269.5,151,5,118,,,,,,
