batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
ar_100,agathis_robusta,100,1,349.2,46,4,84,66.4,70,80.5,,,
ar_100,agathis_robusta,100,2,335.1,47,4,92,46.9,76.9,71.1,,,
ar_100,agathis_robusta,100,3,433,30,4,99,70.4,54.4,58.8,,,
ar_100,agathis_robusta,100,4,379.5,46,3,99,63.9,50.6,58.5,,,
ar_100,agathis_robusta,100,5,361.2,50,4,114,39,39.5,39.9,,,
ar_100,agathis_robusta,100,6,361.7,26,6,86,78.9,77.4,55.9,,,
ar_100,agathis_robusta,100,7,364.7,31,5,87,40.9,48.8,39.1,,,
ar_100,agathis_robusta,100,8,362.3,20,5,112,84.4,51.9,46.1,,,
ar_100,agathis_robusta,100,9,380.6,18,4,97,68.5,63.6,41,,,
ar_100,agathis_robusta,100,10,354.7,28,6,92,45.9,53.4,56.4,,,
ba_45,brachychiton_acerifolius,45,1,212.9,15,17,51,,,,,,
ba_45,brachychiton_acerifolius,45,2,251.9,33,12,54,,,,,,
ba_45,brachychiton_acerifolius,45,3,232.2,32,11,64,,,,,,
ba_45,brachychiton_acerifolius,45,4,206.8,45,12,53,,,,,,
ba_45,brachychiton_acerifolius,45,5,190.4,34,9,69,,,,,,
ba_45,brachychiton_acerifolius,45,6,220.6,38,15,46,,,,,,
ba_45,brachychiton_acerifolius,45,7,227.4,33,17,52,,,,,,
ba_45,brachychiton_acerifolius,45,8,221.6,29,13,61,,,,,,
ba_45,brachychiton_acerifolius,45,9,226.7,44,15,46,,,,,,
ba_45,brachychiton_acerifolius,45,10,235,35,12,56,,,,,,
ca_45,cupaniopsis_anacardioides,45,1,229.9,23,4,26,45.1,44.9,38.8,,,
ca_45,cupaniopsis_anacardioides,45,2,209,38,6,38,37.5,35.6,34.8,,,
ca_45,cupaniopsis_anacardioides,45,3,243.4,31,2,31,36.9,36,29.2,,,
ca_45,cupaniopsis_anacardioides,45,4,229,53,5,62,43.6,47.7,55.4,,,
ca_45,cupaniopsis_anacardioides,45,5,231.7,43,5,54,46.4,42.6,49.6,,,
ca_45,cupaniopsis_anacardioides,45,6,241.8,35,11,46,37.7,34.8,24.2,,,
ca_45,cupaniopsis_anacardioides,45,7,185.8,17,6,28,63.4,65.6,49.7,,,
ca_45,cupaniopsis_anacardioides,45,8,206.2,29,5,30,31.1,34.5,31.1,,,
