nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
ibrox,19/01/2017,agathis_robusta,ar_100,100,1,349.2,61.04,66.26,69.71,69.91
ibrox,19/01/2017,agathis_robusta,ar_100,100,2,335.1,54.18,56.65,67.01,64.9
ibrox,19/01/2017,agathis_robusta,ar_100,100,3,433,60.16,59.26,69.77,71.847
ibrox,19/01/2017,agathis_robusta,ar_100,100,4,379.5,59.86,61.08,74.63,74.56
ibrox,19/01/2017,agathis_robusta,ar_100,100,5,361.2,71.57,70.58,80.11,83.3
ibrox,19/01/2017,agathis_robusta,ar_100,100,6,361.7,58.39,57.57,75.12,73.98
ibrox,19/01/2017,agathis_robusta,ar_100,100,7,364.7,65.06,66.56,77.25,76.91
ibrox,19/01/2017,agathis_robusta,ar_100,100,8,362.3,67.95,68.32,70.15,69.25
ibrox,19/01/2017,agathis_robusta,ar_100,100,9,380.6,64.87,65.22,75.2,74.69
ibrox,19/01/2017,agathis_robusta,ar_100,100,10,354.7,63.21,62,80.31,78.65
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,1,212.9,42.4,42.21,52.48,52.56
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,2,251.9,44.87,45.14,51.01,51.02
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,3,232.2,47.75,47.66,54.99,55
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,4,206.8,37.67,37.51,45.09,45.04
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,5,190.4,38.59,38.39,45.47,44.49
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,6,220.6,43.1,42.71,48.06,48.39
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,7,227.4,40.59,40.04,45.75,45.29
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,8,221.6,37.24,37.71,45.35,45.77
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,9,226.7,37.17,37.08,42.51,42.93
ibrox,19/01/2017,brachychiton_acerifolius,ba_45,45,10,235,44.02,44.6,55.23,52.93
ibrox,20/01/2017,brachychiton_acerifolius,ba_45,45,11,200,37.04,36.88,47.1,46.41
ibrox,19/01/2017,cupaniopsis_anacardioides,ca_45,45,1,229.9,24.82,24.4,30.4,30.61
ibrox,19/01/2017,cupaniopsis_anacardioides,ca_45,45,2,209,22.83,23.16,31.29,32.19
