batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
fmh_400,ficus_microcarpa_hillii,400,1,409,100,3,133,11.7,12.6,12.9,,,
fmh_400,ficus_microcarpa_hillii,400,2,493.6,93,16,184,10.5,13.6,11.5,,,
fmh_400,ficus_microcarpa_hillii,400,3,468,91,13,159,12.8,17.9,17.4,,,
fmh_400,ficus_microcarpa_hillii,400,4,535.2,103,16,126,20.3,15.6,12.9,,,
fmh_400,ficus_microcarpa_hillii,400,5,524.3,85,7,168,19.8,19.9,21.2,,,
fmh_400,ficus_microcarpa_hillii,400,6,533.7,97,18,124,17.4,23.8,18.5,,,
fmh_400,ficus_microcarpa_hillii,400,7,477.6,100,18,110,15.8,20.8,22.3,,,
fmh_400,ficus_microcarpa_hillii,400,8,145.5,98,15,147,17.8,11.3,14.5,,,
fmh_400,ficus_microcarpa_hillii,400,9,532.6,100,16,133,21.3,16.9,13.5,,,
fmh_400,ficus_microcarpa_hillii,400,10,456.8,72,12,131,21.2,14.9,12.1,,,
br_400,brachychiton_rupestris,400,1,374.5,143,4,137,5.6,5.6,5.2,,,
br_400,brachychiton_rupestris,400,2,300.2,77,3,132,7.4,3.7,6.2,,,
br_400,brachychiton_rupestris,400,3,294.5,74,1,92,6.9,8.7,5.5,,,
br_400,brachychiton_rupestris,400,4,293.7,66,2,97,15.3,11.7,11.8,,,
br_400,brachychiton_rupestris,400,5,355.8,110,1,111,5.8,8.4,6.3,,,
br_400,brachychiton_rupestris,400,6,300.7,79,1,105,11.2,10.8,9,,,
br_400,brachychiton_rupestris,400,7,303.8,84,8,70,9.7,14.5,9.3,,,
br_400,brachychiton_rupestris,400,8,321.2,133,3,69,6.4,9.6,5.2,,,
br_400,brachychiton_rupestris,400,9,304.2,158,4,85,9.3,7.3,7.9,,,
br_400,brachychiton_rupestris,400,10,281.5,69,1,72,19.2,10.5,15.5,,,
ca_2000,cupaniopsis_anacardioides,2000,1,436.4,100,5,214,12.4,20.5,19.8,,,
ca_2000,cupaniopsis_anacardioides,2000,2,488.6,132,4,230,37.6,48.1,50.2,,,
ca_2000,cupaniopsis_anacardioides,2000,3,553.9,121,3,253,29.6,19.9,26.1,,,
ca_2000,cupaniopsis_anacardioides,2000,4,460.9,114,4,253,32.1,39.1,37.9,,,
ca_2000,cupaniopsis_anacardioides,2000,5,424.2,103,3,236,28.3,26,26.8,,,
ca_2000,cupaniopsis_anacardioides,2000,6,357.6,112,5,167,27.3,25.7,28.2,,,
ca_2000,cupaniopsis_anacardioides,2000,7,403.1,104,4,287,32.4,38.3,39.2,,,
ca_2000,cupaniopsis_anacardioides,2000,8,434,129,8,228,36.1,33.3,27.7,,,
ca_2000,cupaniopsis_anacardioides,2000,9,566.5,154,4,262,45.2,39,34.7,,,
ca_3000,cupaniopsis_anacardioides,3000,1,526,140,3,205,34.5,39.4,42.1,,,
ca_3000,cupaniopsis_anacardioides,3000,2,385.2,110,1,221,35.8,31.1,36.1,,,
ca_3000,cupaniopsis_anacardioides,3000,3,537,92,5,230,23.9,17,24.7,,,
ca_3000,cupaniopsis_anacardioides,3000,4,436.1,90,2,200,36.7,24.7,21.8,,,
ca_3000,cupaniopsis_anacardioides,3000,5,494.7,145,3,265,45.5,38.1,37.4,,,
ca_3000,cupaniopsis_anacardioides,3000,6,472.5,145,4,212,27.9,34.5,34.5,,,
ca_3000,cupaniopsis_anacardioides,3000,7,529.2,138,2,236,43.6,35.5,37,,,
ca_3000,cupaniopsis_anacardioides,3000,8,449.6,92,3,253,30.9,33.2,26.8,,,
ca_3000,cupaniopsis_anacardioides,3000,9,484.3,110,3,197,22.8,18.5,19.2,,,
br_1000,brachychiton_rupestris,1000,1,281.8,101,2,117,10.3,11.3,8.5,,,
br_1000,brachychiton_rupestris,1000,2,292.7,70,5,158,9.4,10.7,4.8,,,
br_1000,brachychiton_rupestris,1000,3,340.7,93,4,146,27.5,13.9,17.5,,,
br_1000,brachychiton_rupestris,1000,4,299.7,100,3,132,8,7.6,16.7,,,
br_1000,brachychiton_rupestris,1000,5,329.3,97,3,116,4.6,3.4,6.1,,,
br_1000,brachychiton_rupestris,1000,6,321,120,6,122,13.5,11.2,10.4,,,
br_1000,brachychiton_rupestris,1000,7,307.6,66,5,123,11.2,8.5,12.1,,,
br_1000,brachychiton_rupestris,1000,8,339.9,59,2,105,6,6.4,6.5,,,
br_1000,brachychiton_rupestris,1000,9,305.9,87,2,92,13.6,14.2,11,,,
br_1000,brachychiton_rupestris,1000,10,306.9,104,3,128,11.6,14,9.4,,,
br_2000,brachychiton_rupestris,2000,1,360.1,105,6,146,11,12.3,10.7,,,
br_2000,brachychiton_rupestris,2000,2,410.2,76,4,181,19.2,16.4,14.1,,,
br_2000,brachychiton_rupestris,2000,3,340.2,92,5,179,7.7,11.2,10.4,,,
br_2000,brachychiton_rupestris,2000,4,420.1,120,5,151,16.1,7.8,14.3,,,
br_2000,brachychiton_rupestris,2000,5,356.4,110,3,150,8,7.4,8.4,,,
br_2000,brachychiton_rupestris,2000,6,357.2,130,5,160,14.3,6.6,6,,,
br_2000,brachychiton_rupestris,2000,7,413,120,1,142,9,7.8,8.2,,,
br_2000,brachychiton_rupestris,2000,8,476.8,179,5,142,20.3,13.3,13,,,
br_2000,brachychiton_rupestris,2000,9,359,105,2,155,6.7,5.3,6.1,,,
br_2000,brachychiton_rupestris,2000,10,408.7,90,3,151,3.7,10,7,,,
