nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
logans,13/01/2017,agathis_robusta,ar_45,45,1,194,24.73,24.1,34.83,32.75
logans,13/01/2017,agathis_robusta,ar_45,45,2,258.9,32.61,32.61,40.63,40.5
logans,13/01/2017,agathis_robusta,ar_45,45,3,230.8,33.1,34.07,44.06,45.63
logans,13/01/2017,agathis_robusta,ar_45,45,4,242.8,31.13,31.13,42.52,42.33
logans,13/01/2017,agathis_robusta,ar_45,45,5,174.8,25.43,25.95,31.71,32.53
logans,13/01/2017,agathis_robusta,ar_45,45,6,222,29.73,27.73,36.83,36.82
logans,13/01/2017,agathis_robusta,ar_45,45,7,246.5,33.46,32.06,41.24,41.16
logans,13/01/2017,agathis_robusta,ar_45,45,8,264.4,26.75,27.52,36,36.02
logans,13/01/2017,agathis_robusta,ar_45,45,9,246.7,31.37,31.01,38.1,37.45
logans,13/01/2017,agathis_robusta,ar_45,45,10,238.8,26.27,25.53,31.98,32.16
logans,13/01/2017,agathis_robusta,ar_45,45,11,218,32.92,32.17,41.38,41.41
logans,13/01/2017,agathis_robusta,ar_45,45,12,212,33.73,33.38,45.44,45.94
logans,13/01/2017,agathis_robusta,ar_45,45,13,265.6,32.78,32.74,42.22,41.76
logans,13/01/2017,agathis_robusta,ar_45,45,14,194,28.66,28.66,41.11,41.11
logans,13/01/2017,araucaria_heterophylla,ah_400,400,1,348,71.64,72.86,81.22,82.02
logans,13/01/2017,araucaria_heterophylla,ah_400,400,2,369.8,77.82,77.07,88.39,87.58
logans,13/01/2017,araucaria_heterophylla,ah_400,400,3,401.2,69.38,68.48,83.87,80.97
logans,13/01/2017,araucaria_heterophylla,ah_400,400,4,389.7,79.04,79.6,89.63,94.61
logans,13/01/2017,araucaria_heterophylla,ah_400,400,5,372.5,78.7,81.15,83.69,84.73
logans,13/01/2017,araucaria_heterophylla,ah_400,400,6,401.8,80.04,83.92,95.65,99.51
logans,13/01/2017,araucaria_heterophylla,ah_400,400,7,396.3,73.18,78.8,90.45,88.66
logans,13/01/2017,araucaria_heterophylla,ah_400,400,8,353,69.54,71.74,86.69,86.42
logans,13/01/2017,araucaria_heterophylla,ah_400,400,9,365.1,76.23,78.65,90,91.77
logans,13/01/2017,araucaria_heterophylla,ah_400,400,10,339.2,78.92,77.34,87.5,85.84
logans,13/01/2017,araucaria_heterophylla,ah_400,400,11,350.3,71.31,72.98,84.46,87.36
logans,13/01/2017,araucaria_heterophylla,ah_400,400,12,356.2,77.6,74.88,87.91,88.17
logans,13/01/2017,araucaria_heterophylla,ah_400,400,13,428.7,87.64,84.86,95.49,94.33
logans,13/01/2017,araucaria_heterophylla,ah_400,400,14,409.3,83.43,84.8,94.68,94.18
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,1,201.3,33.74,33.62,42.51,42.55
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,2,235.1,34.12,35.21,44.74,44.58
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,3,245.6,33.45,33.61,44.58,44.36
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,4,217,36.06,38.2,48.82,48.73
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,5,245.3,48.24,48.2,58.86,57.97
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,6,270.3,41.9,40.76,50.26,51.41
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,7,238.6,39.6,38.58,50.4,50.47
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,8,221.3,42.02,41.05,55.13,54.58
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,9,251,38.54,37.41,46.9,47.29
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,10,190.3,32.81,33.81,45.6,45.64
logans,13/01/2017,brachychiton_acerifolius,ba_45,45,11,194.8,43.27,41.14,49.82,50.17
