nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,1,355,32.76,32.11,42.34,42.19
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,2,350,31.56,30.81,39.23,38.26
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,3,350,30.71,31.29,43.45,44.89
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,4,335,29.35,29.74,37.87,38.46
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,5,355,30.41,30.53,42.08,42.27
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,6,365,30.58,30.67,40.66,40.34
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,7,360,32.35,30.31,42,42.42
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,8,365,31.7,30.74,40.12,40.32
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,9,365,32.18,33.99,47.96,44.82
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,10,365,34.21,33.25,41.46,42.21
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,11,375,35.85,36.33,42.28,40.46
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,12,380,32.03,32.63,39.56,39.35
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,13,342,30.55,30.04,39.29,37.55
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,14,298,25.88,26.07,34.94,34.75
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,15,312,28.01,27.24,33.38,32.99
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,16,360,30.85,31.02,37.32,38.15
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,17,360,32.89,32.44,42.15,42.83
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,18,350,31.73,31.03,38.77,38.74
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,19,347,26.01,26.72,33.19,33.81
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100,100,20,330,28,27.87,32.64,31.99
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,1,455,46.77,45.07,56.41,52.25
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,2,442,45.99,45.99,51.84,52.94
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,3,400,47.32,46.95,55.51,55.97
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,4,466,46.02,46.4,53.34,55.67
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,5,462,50.04,50.08,60.04,61.24
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,6,430,43.79,45.07,55.92,50.85
mtwil,23/06/2016,acer_freemanii_autumnblaze,af_100_2,100,7,425,46.29,46.38,54.66,56.62
