batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
10_wf,waterhousia_floribunda,45,1,128.2,3,7,66,8.6,9.4,10.5,,,
10_wf,waterhousia_floribunda,45,2,136.8,2,8,69,8.2,12,14.7,,,
10_wf,waterhousia_floribunda,45,3,155,35,6,66,11.4,12.1,10.7,,,
10_wf,waterhousia_floribunda,45,4,152.5,9,13,40,9.2,10.7,8.6,,,
10_wf,waterhousia_floribunda,45,5,116.1,8,6,53,8.4,13.3,12.5,,,
10_wf,waterhousia_floribunda,45,6,139.2,2,6,54,9.9,6.9,7.1,,,
10_wf,waterhousia_floribunda,45,7,168.2,19,3,62,10.8,9,15.9,,,
10_wf,waterhousia_floribunda,45,8,154.8,8,9,47,15.6,16.3,9.1,,,
10_wf,waterhousia_floribunda,45,9,130.4,12,6,57,11.9,16.2,8.2,,,
10_wf,waterhousia_floribunda,45,10,170.5,22,9,51,7.9,8.8,11.6,,,
8_ff,ficus_microcarpa_hilliiflash,45,1,173.4,4,13,56,16.7,14,12.8,,,
8_ff,ficus_microcarpa_hilliiflash,45,2,164.1,4,11,46,12.8,15.7,10.9,,,
8_ff,ficus_microcarpa_hilliiflash,45,3,168.5,3,12,56,15.4,13.8,15.5,,,
8_ff,ficus_microcarpa_hilliiflash,45,4,162,4,17,62,18.2,13.6,14,,,
8_ff,ficus_microcarpa_hilliiflash,45,5,169.3,2,10,61,14.1,13.2,9.1,,,
8_ff,ficus_microcarpa_hilliiflash,45,6,169.5,2,10,56,11.6,9.1,18.5,,,
8_ff,ficus_microcarpa_hilliiflash,45,7,175.2,13,11,46,16.2,8.5,14.4,,,
8_ff,ficus_microcarpa_hilliiflash,45,8,172.4,3,9,68,12.2,10.2,16.3,,,
8_ff,ficus_microcarpa_hilliiflash,45,9,148.7,2,8,46,11.3,13.9,7.1,,,
8_ff,ficus_microcarpa_hilliiflash,45,10,180.9,2,9,52,19.7,18.2,12.8,,,
6_dr,delonix_regia,45,1,130.4,89,4,82,,,,,,
6_dr,delonix_regia,45,2,144,100,3,58,,,,,,
6_dr,delonix_regia,45,3,163.5,115,2,53,,,,,,
6_dr,delonix_regia,45,4,163.7,116,2,73,,,,,,
6_dr,delonix_regia,45,5,144.6,106,3,71,,,,,,
6_dr,delonix_regia,45,6,149.1,114,4,60,,,,,,
6_dr,delonix_regia,45,7,150.4,102,4,72,,,,,,
6_dr,delonix_regia,45,8,148.3,115,2,52,,,,,,
6_dr,delonix_regia,45,9,123.6,78,2,70,,,,,,
6_dr,delonix_regia,45,10,144,118,2,67,,,,,,
5_mq,melaleuca_quinquenervia,45,1,213.7,30,6,54,9.1,8.7,8.2,,,
5_mq,melaleuca_quinquenervia,45,2,181.7,29,13,39,6,5.4,7.9,,,
5_mq,melaleuca_quinquenervia,45,3,182.4,17,7,44,7.3,6.4,5.5,,,
5_mq,melaleuca_quinquenervia,45,4,213.1,38,9,43,8.6,6.3,7.4,,,
5_mq,melaleuca_quinquenervia,45,5,203.6,41,12,51,4.5,5.5,6.6,,,
5_mq,melaleuca_quinquenervia,45,6,194.7,15,8,58,5.1,5.5,5.4,,,
5_mq,melaleuca_quinquenervia,45,7,186.4,13,10,52,7.3,7.2,7.2,,,
5_mq,melaleuca_quinquenervia,45,8,200.4,9,7,52,7.5,8,8.5,,,
5_mq,melaleuca_quinquenervia,45,9,193.1,18,4,56,5.1,4.6,4.3,,,
5_mq,melaleuca_quinquenervia,45,10,175.5,26,11,56,6.2,8.1,8.4,,,
1_wf,waterhousia_floribunda,200,1,288.9,76,6,74,9,12.1,11.2,,,
1_wf,waterhousia_floribunda,200,2,303.1,80,8,86,14.3,18.7,13.1,,,
1_wf,waterhousia_floribunda,200,3,266.3,67,5,88,13.8,9.9,12.9,,,
1_wf,waterhousia_floribunda,200,4,272.6,60,8,71,10.1,11.2,12.2,,,
1_wf,waterhousia_floribunda,200,5,301.7,63,3,97,14.7,17.9,19.5,,,
1_wf,waterhousia_floribunda,200,6,241.8,89,8,60,27.3,26.9,16.5,,,
1_wf,waterhousia_floribunda,200,7,213.7,62,8,72,9.8,7.7,8.2,,,
1_wf,waterhousia_floribunda,200,8,242,68,6,76,21,16.1,11.9,,,
1_wf,waterhousia_floribunda,200,9,283.2,86,9,79,16.5,17.1,15.1,,,
1_wf,waterhousia_floribunda,200,10,215.8,62,6,88,14.2,9.9,11.7,,,
1_mq,melaleuca_quinquenervia,100,1,293,71,17,70,9.1,8.8,8.3,,,
1_mq,melaleuca_quinquenervia,100,2,276,112,10,137,8,4.6,5.4,,,
1_mq,melaleuca_quinquenervia,100,3,265.4,58,9,51,8.7,8.9,9.2,,,
1_mq,melaleuca_quinquenervia,100,4,303,83,17,83,16,7.9,7.2,,,
1_mq,melaleuca_quinquenervia,100,5,245.8,60,8,49,14.1,14.2,13.2,,,
1_mq,melaleuca_quinquenervia,100,6,321.7,118,9,71,8,7.7,6.2,,,
1_mq,melaleuca_quinquenervia,100,7,291,89,11,72,8.1,8.8,8.3,,,
1_mq,melaleuca_quinquenervia,100,8,307.4,95,10,87,11.4,5.8,9.8,,,
1_mq,melaleuca_quinquenervia,100,9,275.3,65,8,66,9.7,10.4,9.5,,,
1_mq,melaleuca_quinquenervia,100,10,273.1,86,10,89,12.3,8.2,10.3,,,
2_ff,ficus_microcarpa_hilliiflash,100,1,226.5,10,7,60,10.8,12.9,13.3,,,
2_ff,ficus_microcarpa_hilliiflash,100,2,191.1,10,8,71,11.7,11.3,11.2,,,
2_ff,ficus_microcarpa_hilliiflash,100,3,216.7,6,10,60,11.6,20.3,13.9,,,
2_ff,ficus_microcarpa_hilliiflash,100,4,209.7,14,8,54,15.9,15.1,10.2,,,
2_ff,ficus_microcarpa_hilliiflash,100,5,217.9,14,11,49,14.7,9.1,17.7,,,
2_ff,ficus_microcarpa_hilliiflash,100,6,226.7,14,12,64,7.7,11.2,16.5,,,
2_ff,ficus_microcarpa_hilliiflash,100,7,201.1,11,12,57,13.3,13,16.3,,,
2_ff,ficus_microcarpa_hilliiflash,100,8,197.5,8,9,50,12.1,13.3,21.3,,,
2_ff,ficus_microcarpa_hilliiflash,100,9,225.3,6,12,60,11.5,16,12,,,
2_ff,ficus_microcarpa_hilliiflash,100,10,221.6,20,11,53,12.7,11.6,14.5,,,
6_ml,melaleuca_leucadendra_fineleaf,45,1,248.7,97,4,94,10.4,10.9,10.5,,,
6_ml,melaleuca_leucadendra_fineleaf,45,2,209.8,56,4,57,8.2,7.7,7.5,,,
6_ml,melaleuca_leucadendra_fineleaf,45,3,239,43,2,78,10.8,13,10.8,,,
6_ml,melaleuca_leucadendra_fineleaf,45,4,277.4,67,4,72,16.1,9,11.4,,,
6_ml,melaleuca_leucadendra_fineleaf,45,5,200.3,66,5,80,6.7,11.7,9.2,,,
6_ml,melaleuca_leucadendra_fineleaf,45,6,227,47,5,70,8.1,8.2,13.4,,,
6_ml,melaleuca_leucadendra_fineleaf,45,7,237.5,53,3,72,9.7,8.8,6.5,,,
6_ml,melaleuca_leucadendra_fineleaf,45,8,200.5,55,3,79,11.1,7.1,15.4,,,
6_ml,melaleuca_leucadendra_fineleaf,45,9,204.7,77,5,55,12.9,10.9,12.9,,,
6_ml,melaleuca_leucadendra_fineleaf,45,10,243,17,2,99,10.5,14.6,12.6,,,
3_dr,delonix_regia,200,1,276.2,136,2,128,,,,,,
3_dr,delonix_regia,200,2,321,150,2,142,,,,,,
3_dr,delonix_regia,200,3,284.2,182,3,108,,,,,,
3_dr,delonix_regia,200,4,333,191,6,106,,,,,,
3_dr,delonix_regia,200,5,306.8,156,4,178,,,,,,
3_dr,delonix_regia,200,6,233.5,153,4,102,,,,,,
3_dr,delonix_regia,200,7,273.1,170,4,150,,,,,,
3_dr,delonix_regia,200,8,269.2,208,5,157,,,,,,
3_dr,delonix_regia,200,9,363,199,4,180,,,,,,
3_dr,delonix_regia,200,10,368.5,135,6,157,,,,,,
1_ee,elaeocarpus_eumundi,100,1,191.5,14,14,68,10.3,12.1,15.3,,,
1_ee,elaeocarpus_eumundi,100,2,211.4,15,11,77,15.3,21.8,16.4,,,
1_ee,elaeocarpus_eumundi,100,3,218.8,7,19,55,18.3,15,25.8,,,
1_ee,elaeocarpus_eumundi,100,4,215.2,8,21,55,18.9,16.1,21.7,,,
1_ee,elaeocarpus_eumundi,100,5,208.2,10,19,68,29.9,26,21.7,,,
1_ee,elaeocarpus_eumundi,100,6,211.9,10,17,70,23.8,20.6,21,,,
1_ee,elaeocarpus_eumundi,100,7,212.8,14,19,56,31.8,23.1,29.4,,,
1_ee,elaeocarpus_eumundi,100,8,203.6,13,20,58,23.3,26.8,24.4,,,
1_ee,elaeocarpus_eumundi,100,9,162.8,17,19,78,15.8,31.2,18.4,,,
1_ee,elaeocarpus_eumundi,100,10,218.3,15,15,73,31.6,14.4,26.1,,,
1_dr,delonix_regia,100,1,283.9,184,3,128,,,,,,
1_dr,delonix_regia,100,2,274,181,2,109,,,,,,
1_dr,delonix_regia,100,3,278.7,158,2,100,,,,,,
1_dr,delonix_regia,100,4,255.7,189,5,164,,,,,,
1_dr,delonix_regia,100,5,291.3,174,3,138,,,,,,
1_dr,delonix_regia,100,6,303,156,3,107,,,,,,
1_dr,delonix_regia,100,7,289.8,246,8,123,,,,,,
cv_25,callistemon_viminalis,25,1,111,9,4,38,2.8,2.6,2.9,,,
cv_25,callistemon_viminalis,25,2,125.2,33,22,34,4.1,3.9,3.2,,,
cv_25,callistemon_viminalis,25,3,112.8,14,10,32,3.8,3.2,2.1,,,
cv_25,callistemon_viminalis,25,4,138.6,26,12,44,1.9,4.2,3.9,,,
cv_25,callistemon_viminalis,25,5,108.1,18,4,42,2.1,2.9,1.7,,,
