nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,1,213.7,22.76,24.65,28.07,28.42
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,2,181.7,22.05,23.99,30.98,30.92
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,3,182.4,21.17,21.31,31.34,29.85
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,4,213.1,23.94,24.77,35.56,32.9
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,5,203.6,22.92,22.97,28.47,28.56
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,6,194.7,23.92,24.52,33.25,33.02
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,7,186.4,25.41,26.63,32.39,31.92
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,8,200.4,26.64,27.28,36.78,36.81
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,9,193.1,20.85,20.34,28.88,27.8
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,10,175.5,24.83,23.42,32.19,31.87
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,11,198,23.13,23.31,32.05,34.01
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,12,207.3,21.11,21.43,30.89,29.24
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,13,175.3,21,21.45,28.91,27.95
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,14,228.4,22.91,22.22,26,27.09
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,15,183.4,20.29,21.43,27.89,29.93
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,16,188.7,26.99,26.15,31.49,33.15
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,17,184.7,19.3,19.26,27.2,28.41
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,18,195,23.16,22.96,29.67,31.9
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,19,199.7,23.6,24.23,33.09,33.01
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,20,188.4,21.12,19.56,28.8,28.72
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,21,182.6,24.59,24.68,32.67,32.49
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,22,160.2,19.45,18.99,24.62,22.85
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,23,234.5,24.65,24.66,33.46,32.39
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,24,189.7,21.64,21.46,29.07,29.07
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,25,168.5,19.32,19.49,28.89,28.11
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,26,188.5,21.8,22.04,29.58,28.12
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,27,158.5,22.69,24.29,29.95,31.07
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,28,224.1,20.19,21.06,30.66,30.26
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,29,202.5,22.04,22.16,28.88,30.65
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,30,187.7,17.38,17.29,22.78,24.48
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,31,207.7,14.54,14.6,24.91,25.3
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,32,160.1,16.01,15.98,21.8,20.8
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,33,191,23.84,24.08,34.57,33.14
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,34,184.5,16.3,16.27,22.18,22.38
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,35,210.3,22.22,22.07,30.92,29.95
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,36,229.3,20.26,21.29,28.35,28.41
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,37,214.3,25.21,25.22,34.68,35.07
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,38,168,19.07,19.07,26.95,25.46
pallara,1/12/2017,melaleuca_quinquenervia,5_mq,45,39,180.3,25.61,25.51,31.88,32.02
pallara,1/12/2017,delonix_regia,1_dr,100,1,283.9,56.36,59.17,71.42,71.82
pallara,1/12/2017,delonix_regia,1_dr,100,2,274,57.32,57.6,61.78,66.84
pallara,1/12/2017,delonix_regia,1_dr,100,3,278.7,51.48,52.34,59.62,59.12
pallara,1/12/2017,delonix_regia,1_dr,100,4,255.7,57.98,58.02,64.38,61.95
pallara,1/12/2017,delonix_regia,1_dr,100,5,291.3,65.11,66.73,80.8,81.7
pallara,1/12/2017,delonix_regia,1_dr,100,6,303,62.52,63.81,66.66,73.46
pallara,1/12/2017,delonix_regia,1_dr,100,7,289.8,51.24,51.63,67.71,57.32
pallara,1/12/2017,delonix_regia,3_dr,200,1,276.2,72.05,69.03,76.4,82.91
pallara,1/12/2017,delonix_regia,3_dr,200,2,321,61.95,63.94,68.04,85.74
pallara,1/12/2017,delonix_regia,3_dr,200,3,284.2,51.26,50.83,66.02,70.54
pallara,1/12/2017,delonix_regia,3_dr,200,4,333,62.11,59.73,69.27,73.33
pallara,1/12/2017,delonix_regia,3_dr,200,5,306.8,78.05,79.17,81.82,101.98
pallara,1/12/2017,delonix_regia,3_dr,200,6,233.5,57.93,64.29,83.47,87.61
pallara,1/12/2017,delonix_regia,3_dr,200,7,273.1,82.6,84.06,103.73,83.47
pallara,1/12/2017,delonix_regia,3_dr,200,8,269.2,56.04,57.1,81.28,79.5
pallara,1/12/2017,delonix_regia,3_dr,200,9,363,66.2,68.65,92.13,95.46
pallara,1/12/2017,delonix_regia,3_dr,200,10,368.5,57.81,62.28,89.7,73.75
pallara,1/12/2017,delonix_regia,3_dr,200,11,324.5,70.48,69.4,79.46,79.82
pallara,1/12/2017,delonix_regia,3_dr,200,12,381.3,64.77,64.8,80.46,81.7
pallara,1/12/2017,delonix_regia,3_dr,200,13,313.6,61.18,60.97,67.25,70.59
pallara,1/12/2017,delonix_regia,3_dr,200,14,377,68.29,69.38,85.88,76.07
pallara,1/12/2017,delonix_regia,3_dr,200,15,343,71.85,71.41,85.09,83.76
pallara,1/12/2017,ficus_microcarpa_hilliiflash,2_ff,100,1,226.5,31.99,32.71,39.4,38.83
pallara,1/12/2017,ficus_microcarpa_hilliiflash,2_ff,100,2,191.1,29.5,29.45,38.31,37.88
pallara,1/12/2017,ficus_microcarpa_hilliiflash,2_ff,100,3,216.7,36.19,36.09,44.07,44.1
pallara,1/12/2017,ficus_microcarpa_hilliiflash,2_ff,100,4,209.7,37.36,37.75,45.04,44.96
pallara,1/12/2017,ficus_microcarpa_hilliiflash,2_ff,100,5,217.9,35.77,36.56,42.5,43.94
