species,variety,container_l,onhand,date_ready,height,caliper_30cm,type,origin,growth_rate
Acer_campestra,Elsrijk,400,1,1/10/2014,3.78,75.89,deciduous,non-native,moderate
Acer_campestre,Elsrijk,45,40,1/01/2014,3,29.4,deciduous,non-native,moderate
Acer_campestre,Elsrijk,45,ngia2,,2.9,30,deciduous,non-native,moderate
Acer_campestre,Elsrijk,150,ngia2,,3.7,49,deciduous,non-native,moderate
Acer_campestre,Elsrijk,400,ngia2,,3.8,75,deciduous,non-native,moderate
Acer_miyabei,Morton-State_Street,400,1,1/10/2014,5.62,88.61,deciduous,non-native,moderate
Acer_negundo,Sensation,45,1,1/07/2014,2.5,51.2,deciduous,non-native,moderate
Acer_negundo,Sensation,150,8,1/03/2014,2.77,62.19,deciduous,non-native,moderate
Acer_palmatum,Bloodgood,37,test,,2.6,15,deciduous,non-native,slow
Acer_palmatum,Bloodgood,50,test,,2,30,deciduous,non-native,slow
Acer_palmatum,Coonara_Pygmy,75,6,1/10/2014,1.6,24.95,deciduous,non-native,slow
Acer_palmatum,Dissectum_Crimsonwave,45,25,1/01/2014,1.6,26,deciduous,non-native,slow
Acer_palmatum,Dissectum_Seiryu,45,25,1/01/2014,2.2,33.1,deciduous,non-native,slow
Acer_palmatum,Polymorphum,45,70,1/01/2015,2.76,28.73,deciduous,non-native,slow
Acer_palmatum,Sango_Kaku,150,ngia2,,2.8,41,deciduous,non-native,slow
Acer_palmatum,Villa_Taranto,75,9,1/10/2014,2.15,34.07,deciduous,non-native,slow
Acer_palmatum ,Sango_Kaku,150,ngia,,2.8,38,deciduous,non-native,slow
Acer_palmtum,Dissectum_Crimsonwave,45,27,1/12/2014,2.16,25.16,deciduous,non-native,slow
Acer_palmtum,Dissectum_Crimsonwave,45,27,1/10/2014,2.17,31.53,deciduous,non-native,slow
Acer_plantanoides,Columnare,45,1,1/11/2014,2.2,31.03,deciduous,non-native,slow
Acer_plantanoides,Crimson_Sentry,37,test,,2.3,25,deciduous,non-native,slow
Acer_plantanoides,Deborah,45,24,1/01/2015,3.37,28.11,deciduous,non-native,moderate
Acer_plantanoides,Deborah,45,24,1/01/2015,3.08,26.68,deciduous,non-native,moderate
Acer_plantanoides,Deborah,45,6,1/02/2014,3.4,30.8,deciduous,non-native,moderate
Acer_plantanoides,Deborah,300,4,1/12/2014,4.44,62.55,deciduous,non-native,moderate
Acer_plantanoides,Emerald_Queen,45,10,1/02/2014,4,36,deciduous,non-native,moderate
Acer_plantanoides,Emerald_Queen,300,3,1/12/2014,4,72.4,deciduous,non-native,moderate
Acer_plantanoides,Fairvew,45,10,1/02/2014,3.3,36.5,deciduous,non-native,moderate
Acer_rubrum,Bowhall,45,30,1/11/2014,2.76,27.23,deciduous,non-native,moderate
Acer_rubrum,Bowhall,400,1,1/08/2014,5.08,90,deciduous,non-native,moderate
Acer_rubrum,Fairvew_Flame,75,4,1/03/2014,2.85,35.46,deciduous,non-native,moderate
Acer_rubrum,Fairview_Flame,45,11,1/01/2015,2.87,25.85,deciduous,non-native,moderate
Acer_rubrum,Fairview_Flame,45,41,1/01/2015,3,26,deciduous,non-native,moderate
Acer_rubrum,October_Glory,37,test,,2.3,25,deciduous,non-native,moderate
Acer_rubrum,October_Glory,45,130,1/01/2015,2.7,25.6,deciduous,non-native,moderate
Acer_rubrum,October_Glory,50,test,,3,30,deciduous,non-native,moderate
Acer_saccharum,Bailsta-Falls_Fiesta,400,3,1/03/2014,6.24,102.57,deciduous,non-native,moderate
Acer_truncatum,Norwegian_Sunset,45,ngia2,,2.5,31,deciduous,non-native,moderate
Acer_truncatum,Norwegian_Sunset,150,ngia2,,4,68,deciduous,non-native,moderate
Acer_truncatum_x_platanoides,Taggerty_Sunset,45,52,1/01/2015,2.76,25.75,deciduous,non-native,moderate
Acer_truncatum_x_platanoides,Taggerty_Sunset,45,30,1/01/2015,3.12,28.09,deciduous,non-native,moderate
Acer_truncatum_x_platanoides,Taggerty_Sunset,45,20,1/11/2014,3.2,32.9,deciduous,non-native,moderate
Acer_truncatum_x_platanoides,Warrenred-Pacific_Sunset,25,20,1/01/2015,2.53,19.58,deciduous,non-native,moderate
Acer_truncatum_x_platanoides,Warrenred-Pacific_Sunset,45,49,1/01/2015,2.86,25.57,deciduous,non-native,moderate
Acer_truncatum_x_platanoides,Warrenred-Pacific_Sunset,300,5,1/12/2014,5.04,94.95,deciduous,non-native,moderate
Acer_x_freemanii,Celzam-Celebration,300,1,1/12/2014,6.5,79.83,deciduous,non-native,fast
Acer_x_freemanii,Jeffersred-Autumn_Blaze,45,test,,2.7,28,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,45,ngia2,,1.6,22,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,45,ngia2,,2.6,25,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,45,32,1/01/2015,3.1,25.6,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,45,42,1/01/2015,2.92,29.98,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,75,50,1/01/2015,3.82,30.69,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,75,8,1/01/2015,2.9,31.2,deciduous,non-native,moderate
Acer_x_freemanii,Jeffersred-Autumn_Blaze,150,ngia2,,3.2,45,deciduous,non-native,moderate
Acer_x_freemanii,Scarsen-Scarlet_Sentinel,45,16,1/10/2014,3.44,35.07,deciduous,non-native,moderate
Acer_x_freemanii,Scarsen-Scarlet_Sentinel,300,1,1/12/2014,5.8,75.06,deciduous,non-native,moderate
Acer_x_freemanii,Sienna,150,2,1/03/2014,4.22,47.44,deciduous,non-native,moderate
Acer_x_freemanii,Sienna,300,1,1/12/2014,5.2,80.88,deciduous,non-native,moderate
Acer_x_freemanii ,Celzam-Celebration,150,ngia,,5,62,deciduous,non-native,fast
Acer_x_freemanii ,Jeffersred-Autumn_Blaze,150,ngia,,3.2,43,deciduous,non-native,moderate
Angophora_costata,,45,6,1/11/2014,2,38.33,evergreen,native,fast
Angophora_costata,,45,test,,2.25,27.5,evergreen,native,fast
Angophora_costata,,50,test,,3,30,evergreen,native,fast
Banksia_integrifolia,,37,test,,2.1,24,evergreen,native,moderate
Banksia_integrifolia,,45,35,1/05/2014,3.1,41.8,evergreen,native,moderate
Betula_nigra,Summer_Cascade,45,60,1/01/2014,2.5,25.6,deciduous,non-native,fast
Betula_populifolia,Royal_Frost,45,35,1/01/2015,3,32.9,deciduous,non-native,moderate
Brachychiton_acerifolius,,45,ngia2,,1.8,43,deciduous,native,slow
Brachychiton_acerifolius,,150,32,1/07/2014,2.93,75.97,deciduous,native,slow
Brachychiton_acerifolius,,150,11,1/12/2014,2.86,74.61,deciduous,native,slow
Brachychiton_acerifolius,,400,3,1/05/2014,4.34,114.96,deciduous,native,slow
Brachychiton_bidwillii,,45,15,1/01/2014,2.2,32.7,deciduous,native,slow
Brachychiton_populneus,,45,,,3.7,93.27,evergreen,native,slow
Brachychiton_populneus,,45,ngia2,,1.8,35,evergreen,native,slow
Brachychiton_populneus,,75,10,1/05/2014,2.85,51.07,evergreen,native,slow
Brachychiton_populneus,,150,ngia2,,2.5,75,evergreen,native,slow
Brachychiton_populneus,,300,10,1/12/2014,4,116.12,evergreen,native,slow
Brachychiton_rupestris,,45,11,1/09/2014,1.63,36.91,deciduous,native,slow
Brachychiton_rupestris,,45,16,1/09/2014,1.64,36.55,deciduous,native,slow
Callistemon,Kings_Park_Special,45,18,1/11/2014,2.2,31.9,evergreen,native,fast
Callistemon,Kings_Park_Special,45,ngia2,,2.3,27,evergreen,native,fast
Carpinus_betula,Fastigiata,45,44,1/12/2014,2.23,29.75,deciduous,non-native,moderate
Carpinus_betula,Fastigiata,300,8,1/03/2014,4.1,83.08,deciduous,non-native,moderate
Catalpa_bigonoides,Nana,45,38,1/01/2015,2.8,43.98,deciduous,non-native,slow
Catalpa_bigonoides,Nana,75,54,1/01/2015,2.63,48.54,deciduous,non-native,slow
Cercis_canadensis,Covery-Lavender_Twist,45,47,1/01/2015,2.33,26.82,deciduous,non-native,fast
Cercis_canadensis,Covery-Lavender_Twist,45,3,15/09/2014,2.15,36.94,deciduous,non-native,fast
Cercis_canadensis,Forest_Pansy,45,60,1/01/2015,2.57,25.22,deciduous,non-native,fast
Cercis_canadensis,Forest_Pansy,75,4,1/09/2014,2.54,25.63,deciduous,non-native,fast
Cornus_controversa,June_Snow,45,7,1/05/2014,1.7,48.2,deciduous,non-native,moderate
