date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,1,267.6,23.7,23.15,33.97,31.9
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,2,255.3,24.79,24.57,31.27,30.5
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,3,285.4,25.89,27.66,31.38,32.02
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,4,256.2,23.52,23.75,33.58,32.12
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,5,244.7,27.25,27.81,33.4,34.07
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,6,261.3,23.77,24.76,32.28,32.38
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,7,258.7,29.54,29.49,28.73,29.12
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,8,271.8,24.65,23.79,32.36,33.14
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,9,234.2,23.4,24.51,30.82,30.87
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,10,241.7,24.22,24.35,30.13,29.62
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,11,252.2,25.81,24.83,33.21,31.22
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,12,267,23.74,23.75,29.11,30.47
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,13,277.5,21.75,22.15,30.75,30.06
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,14,252.1,24.23,25.52,35,36.1
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,15,257.8,25.08,24.29,33.37,32.7
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,16,205.3,25.22,24.31,34.98,35.56
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,17,228,22.28,22.52,31.6,30.69
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,18,241.1,23.07,23.08,30.61,30.76
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,19,240.2,22.56,22.28,29.01,29.9
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,20,255,24.15,22.98,27.99,29.25
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,21,248.6,23.27,23.21,27.96,25.21
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,22,273.7,21.43,21.96,28.35,29.55
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,23,254.8,22.82,22.4,29.27,30.13
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,24,245.3,20.89,20.91,28.71,29.2
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,25,240.5,25.71,23.87,30.9,29.57
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,26,279.8,23.26,22.57,32.61,31.84
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,27,231.5,25.31,24.7,31.64,31.87
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,28,221,25.22,22.64,30.3,29.95
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,29,277.7,22.69,20.85,30.88,30.48
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,30,264.8,24.46,24.79,33.44,33.63
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,31,266.9,20.75,20.35,29.47,30.73
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,32,249.7,24.94,24.69,32.95,32.27
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,33,273.8,27.09,27.01,36.24,34.58
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,34,198,20.88,21.19,31.23,31
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,35,156.2,25.05,25.84,36.34,34.47
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,36,241.7,25.15,25.72,33.87,33.12
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,37,204.4,23.46,23.69,34.26,34
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,38,149,18.21,18.54,27.11,27.71
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,39,239,22.62,22.5,30.43,32.56
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,40,244,24.3,22.81,31.87,31.27
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,41,197.5,24.07,23.91,32.94,31.61
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,42,272.3,21.76,21.89,31.26,30.79
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,43,265.9,23.11,22.88,29.37,31.06
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,44,269.2,24.75,26.47,31.73,30.87
20/06/2016,acer_ruburm_autumnred,ara_40cm,40cm,45,269.2,23.03,23.56,28.52,30.67
20/06/2016,acer_ruburm_autumnred,ara_100,100,1,398,11.1,,14.3,
20/06/2016,acer_ruburm_autumnred,ara_100,100,2,430.7,12.9,,17.5,
20/06/2016,acer_ruburm_autumnred,ara_100,100,3,369.9,11.1,,17.3,
20/06/2016,acer_ruburm_autumnred,ara_100,100,4,420.5,12.6,,16.5,
20/06/2016,acer_ruburm_autumnred,ara_100,100,5,438.3,12.7,,16.3,
20/06/2016,acer_ruburm_autumnred,ara_100,100,6,444.1,12.3,,16.2,
20/06/2016,acer_ruburm_autumnred,ara_100,100,7,403,11.8,,14.4,
20/06/2016,acer_ruburm_autumnred,ara_100,100,8,372.3,10.5,,13.5,
20/06/2016,acer_ruburm_autumnred,ara_100,100,9,439.9,12.7,,17.7,
20/06/2016,acer_ruburm_autumnred,ara_100,100,10,447.9,12.3,,15.3,
20/06/2016,acer_ruburm_autumnred,ara_100,100,11,469.9,13.4,,16.4,
20/06/2016,acer_ruburm_autumnred,ara_100,100,12,419.3,10.4,,14.4,
20/06/2016,acer_ruburm_autumnred,ara_100,100,13,438.2,12.2,,16.9,
20/06/2016,acer_ruburm_autumnred,ara_100,100,14,438,11.9,,17.8,
20/06/2016,acer_ruburm_autumnred,ara_100,100,15,471.7,12.6,,16.8,
20/06/2016,acer_ruburm_autumnred,ara_100,100,16,415.5,11.7,,14.3,
20/06/2016,acer_ruburm_autumnred,ara_100,100,17,423.2,11.7,,18,
20/06/2016,acer_ruburm_autumnred,ara_100,100,18,358.7,11.4,,16.3,
20/06/2016,acer_ruburm_autumnred,ara_100,100,19,439.7,12.5,,16.7,
20/06/2016,acer_ruburm_autumnred,ara_100,100,20,448.8,13.5,,16.2,
20/06/2016,acer_ruburm_autumnred,ara_150,150,1,522.7,61.51,63.27,73.94,71.3
20/06/2016,acer_ruburm_autumnred,ara_150,150,2,505.7,65.21,65.46,76.11,79.45
20/06/2016,angophora_costata,ac_100,100,1,317.9,67.42,68.88,86.12,86.71
