date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
05/23/2016,angophora_costata,001-A-063,45,1,190.5,29.58,30.56,44.3,41.77
05/23/2016,angophora_costata,001-A-063,45,2,182.5,23.86,25.16,37.6,35.76
05/23/2016,angophora_costata,001-A-063,45,3,248.3,31.32,31.85,41.99,41.56
05/23/2016,angophora_costata,001-A-063,45,4,251,28.64,28.85,31.58,37.07
05/23/2016,angophora_costata,001-A-063,45,5,169,28.68,29.12,37.4,37.26
05/23/2016,angophora_costata,001-A-063,45,6,277.6,28.31,28.98,45.96,44.4
05/23/2016,angophora_costata,001-A-063,45,7,259.3,37.36,26.43,44.31,44.57
05/23/2016,angophora_costata,001-A-063,45,8,316,30.49,30.79,45.61,43.2
05/23/2016,angophora_costata,001-A-063,45,9,321.5,32.04,31.99,51.17,53.32
05/23/2016,angophora_costata,001-A-063,45,10,313.5,36.39,35.79,48.65,48.69
05/23/2016,angophora_costata,001-A-063,45,11,321.7,35.79,34.6,47.27,44.05
05/23/2016,angophora_costata,001-A-063,45,12,277.1,30.69,31.09,42.45,45.27
05/23/2016,angophora_costata,001-A-063,45,13,239.5,21.89,20.48,31.08,31.21
05/23/2016,angophora_costata,001-A-063,45,14,188,18.94,20.1,21.83,21.82
05/23/2016,angophora_costata,001-A-063,45,15,276.4,31.24,31.45,36.45,36.02
05/23/2016,angophora_costata,001-A-063,45,16,297,29.53,30.25,39.56,39.17
05/23/2016,angophora_costata,001-A-063,45,17,211.5,33.53,34.15,54.06,54.65
05/23/2016,angophora_costata,001-A-063,45,18,161.6,20.95,21.45,37.86,34.42
05/23/2016,angophora_costata,001-A-063,45,19,220.7,33.23,33.53,38.93,39.67
05/23/2016,angophora_costata,001-A-063,45,20,163.6,23,22.66,31.35,30.33
05/23/2016,angophora_costata,001-A-063,45,21,345.5,42.2,42.54,63.42,63.07
05/23/2016,angophora_costata,001-A-063,45,22,298.4,39.6,39.05,55.54,54.45
05/23/2016,angophora_costata,001-A-063,45,23,266.5,29.25,29.25,35.35,35.46
05/23/2016,angophora_costata,001-A-063,45,24,292.6,37.16,37.18,47.83,48.68
05/23/2016,angophora_costata,001-A-063,45,25,250.6,33.15,35.27,43.42,40.09
05/23/2016,angophora_costata,001-A-063,45,26,190.2,21.26,21.73,26.06,25.53
05/23/2016,angophora_costata,001-A-063,45,27,250.1,18.94,19.45,28.23,28.31
05/23/2016,angophora_costata,001-A-063,45,28,223.7,31.73,31.59,46.07,45.73
05/23/2016,angophora_costata,001-A-063,45,29,278,27.74,27.58,40.25,38.05
05/23/2016,angophora_costata,001-A-063,45,30,314.8,32.38,28.45,33.43,33.34
05/23/2016,angophora_costata,001-A-063,45,31,296.7,26.95,26.73,366.8,38.19
05/23/2016,angophora_costata,001-A-063,45,32,307.7,32.98,33.3,40.23,38.96
05/23/2016,angophora_costata,001-A-063,45,33,345.9,29.71,29.99,36.02,36.06
05/23/2016,angophora_costata,001-A-063,45,34,337.2,27.45,28.45,35.51,36.66
05/23/2016,angophora_costata,001-A-063,45,35,283.6,28.3,28.25,40.34,39.4
05/23/2016,angophora_costata,001-A-063,45,36,198.6,27.93,27.1,41.84,40.48
05/23/2016,angophora_costata,001-A-063,45,37,245.8,33.15,31.53,51.92,49.4
05/23/2016,angophora_costata,001-A-063,45,38,224.6,38.04,37.39,48.19,49.02
05/23/2016,angophora_costata,001-A-063,45,39,236,32.53,31.62,44.85,44.27
05/23/2016,angophora_costata,001-A-063,45,40,199.4,32.9,31.97,46.77,46.19
05/23/2016,angophora_costata,001-A-063,45,41,199.4,31.45,31.83,52.32,54.12
05/23/2016,angophora_costata,001-A-063,45,42,261.3,25.37,25.74,34.45,38
05/23/2016,angophora_costata,001-A-063,45,43,255.9,23.55,24.12,41.41,42.02
05/23/2016,angophora_costata,001-A-063,45,44,288.7,26.57,16.99,25.26,25.12
05/23/2016,angophora_costata,001-A-063,45,45,304.8,22.15,29.25,34.65,31.46
05/23/2016,angophora_costata,002-S-059,14,1,105.4,8.02,8.2,13.61,12.95
05/23/2016,angophora_costata,002-S-059,14,2,114.2,12.91,13.92,14.81,14.67
05/23/2016,angophora_costata,002-S-059,14,3,98.9,7.53,7.14,14.47,15.84
05/23/2016,angophora_costata,002-S-059,14,4,124.4,10.47,10.1,14.37,14.98
05/23/2016,angophora_costata,002-S-059,14,5,100.6,10.97,11,15.02,15.93
05/23/2016,angophora_costata,002-S-059,14,6,129.6,9.79,9.27,14.19,13.81
05/23/2016,angophora_costata,002-S-059,14,7,55.1,4.42,4.74,10.52,10.52
05/23/2016,angophora_costata,002-S-059,14,8,81.4,6.27,6.42,17.01,15.52
05/23/2016,angophora_costata,002-S-059,14,9,110.6,6.9,6.66,10.49,11.1
05/23/2016,angophora_costata,002-S-059,14,10,141.4,10.4,10.91,18.73,19.81
05/23/2016,angophora_costata,002-S-059,14,11,104.6,9.35,8.86,12.84,12.93
05/23/2016,angophora_costata,002-S-059,14,12,110.1,10.3,10.42,15.57,16.16
05/23/2016,angophora_costata,002-S-059,14,13,125.2,9.54,9.72,15.47,16.85
05/23/2016,angophora_costata,002-S-059,14,14,117.7,11.19,11.43,13.4,13.95
05/23/2016,angophora_costata,002-S-059,14,15,99,8.05,8.12,14.45,14.57
05/23/2016,angophora_costata,002-S-059,14,16,126.8,12.23,12.48,17.05,17.17
05/23/2016,angophora_costata,002-S-059,14,17,115.6,10.97,11.02,18.06,17.47
